Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.178279,-1.780046,-0.055713,1,0.32262,0.00000,0.32262,-0.30990331,-0.01327488,-0.13140,NaN,-0.13140,NaN,NaN,0.00382,0.32262,0.32262,0.00000,47.73015290,120.12533549,79.01247,79.01247,NaN,NaN,185.06500,NaN,11.145828,NaN,NaN,0.32262,10.852670,13.617265,11.587853,0.193776
O,2.847362,-3.297496,-1.246108,2,9.96782,0.00000,9.96782,-0.84892500,-0.00158952,-0.25944,NaN,-0.25944,NaN,NaN,0.04259,9.96782,9.96782,0.00000,10.82787627,123.12410604,45.95001,45.95001,NaN,NaN,509.77999,NaN,19.026011,NaN,NaN,9.96782,9.890065,15.376205,12.483649,0.923751
C,5.108334,-2.628777,-0.921419,3,4.17325,0.00000,4.17325,-3.80210756,-0.13738450,-1.72791,NaN,-1.72791,NaN,NaN,0.86939,4.17325,4.17325,0.00000,61.15072418,115.21814099,93.65689,93.65689,NaN,NaN,115.49623,NaN,9.098176,NaN,NaN,4.17325,9.762200,15.350854,12.900442,1.064996
C,7.208865,-4.204355,-1.620914,4,5.71206,0.00000,5.71206,-1.88746612,-0.01946301,-0.42783,NaN,-0.42783,NaN,NaN,0.10075,5.71206,5.71206,0.00000,63.47885236,106.93558710,75.83610,75.83610,NaN,NaN,62.61120,NaN,6.344645,NaN,NaN,5.71206,10.488076,15.210190,11.607429,0.962577
H,5.527579,-0.751948,-0.165232,5,9.65743,0.00000,9.65743,-3.38095092,-0.00413616,-0.52299,NaN,-0.52299,NaN,NaN,0.33800,9.65743,9.65743,0.00000,60.22054595,138.59388754,110.02069,110.02069,NaN,NaN,201.54255,NaN,10.918929,NaN,NaN,9.65743,10.228180,15.541161,13.086566,0.908248
C,6.864222,-6.635121,-2.670986,6,4.71926,0.00000,4.71926,-1.76322862,-0.05297816,-0.91310,NaN,-0.91310,NaN,NaN,0.19967,4.71926,4.71926,0.00000,55.67473143,93.27217683,66.15030,66.15030,NaN,NaN,30.33579,NaN,3.796451,NaN,NaN,4.71926,10.160058,14.805991,11.016117,0.657287
C,9.666382,-3.248451,-1.215961,7,4.71302,0.00000,4.71302,-1.83354099,-0.04817611,-0.92206,NaN,-0.92206,NaN,NaN,0.21691,4.71302,4.71302,0.00000,63.28768317,102.83414701,76.14233,76.14233,NaN,NaN,41.48364,NaN,5.257128,NaN,NaN,4.71302,10.232556,14.912000,11.086299,0.647749
C,8.963576,-8.07802,-3.296673,8,4.77090,0.00000,4.77090,-1.20366423,-0.00382420,-0.63296,NaN,-0.63296,NaN,NaN,0.11218,4.77090,4.77090,0.00000,55.62279591,93.93863000,63.67657,63.67657,NaN,NaN,28.83847,NaN,3.771315,NaN,NaN,4.77090,10.014012,14.817825,10.815907,0.599448
H,4.962608,-7.342172,-2.969769,9,9.14599,0.00000,9.14599,-1.68219631,-0.00005160,-0.33404,NaN,-0.33404,NaN,NaN,0.13873,9.14599,9.14599,0.00000,36.54404123,102.62163629,76.28288,76.28288,NaN,NaN,108.37556,NaN,8.341171,NaN,NaN,9.14599,10.734578,15.376205,12.225845,0.688172
C,11.758159,-4.709129,-1.848763,10,4.71444,0.00000,4.71444,-1.01042392,-0.01139919,-0.55893,NaN,-0.55893,NaN,NaN,0.07663,4.71444,4.71444,0.00000,61.22911908,93.93863000,68.72132,68.72132,NaN,NaN,25.46616,NaN,3.913339,NaN,NaN,4.71444,10.007451,14.817825,10.812431,0.605671
H,9.903134,-1.37916,-0.398392,11,8.80255,0.00000,8.80255,-1.74545658,-0.00024570,-0.36069,NaN,-0.36069,NaN,NaN,0.15495,8.80255,8.80255,0.00000,79.51395131,136.08361194,104.06528,104.06528,NaN,NaN,221.04592,NaN,12.786222,NaN,NaN,8.80255,10.897935,15.221086,12.323721,0.603509
C,11.404641,-7.118717,-2.885856,12,4.74036,0.00000,4.74036,-1.21620494,-0.00169735,-0.76288,NaN,-0.76288,NaN,NaN,0.10732,4.74036,4.74036,0.00000,59.57899666,92.88480595,68.67951,68.67951,NaN,NaN,26.11194,NaN,3.953916,NaN,NaN,4.74036,10.264749,14.737168,11.014804,0.603753
H,8.722069,-9.948915,-4.103414,13,8.90178,0.00000,8.90178,-1.15295725,-0.00005160,-0.25733,NaN,-0.25733,NaN,NaN,0.07778,8.90178,8.90178,0.00000,64.16198671,110.59931643,81.56678,81.56678,NaN,NaN,148.36452,NaN,9.941553,NaN,NaN,8.90178,10.514114,14.596427,12.044398,0.614016
H,13.653555,-3.987876,-1.539222,14,8.93551,0.00000,8.93551,-0.98428850,-0.00013304,-0.21955,NaN,-0.21955,NaN,NaN,0.05542,8.93551,8.93551,0.00000,70.95206139,119.10390241,89.66501,89.66501,NaN,NaN,159.74386,NaN,10.414818,NaN,NaN,8.93551,10.534406,14.699724,12.074020,0.621971
H,13.038065,-8.260906,-3.37883,15,8.86153,0.00000,8.86153,-1.11459201,-0.00018870,-0.25604,NaN,-0.25604,NaN,NaN,0.07628,8.86153,8.86153,0.00000,71.84914842,115.07912065,86.60720,86.60720,NaN,NaN,136.41772,NaN,9.561757,NaN,NaN,8.86153,10.907181,14.602838,12.144554,0.568024
C,5.250107,-3.968415,4.8418,16,3.80338,0.00000,3.80338,-1.08434051,-0.05524983,-0.42523,NaN,-0.42523,NaN,NaN,0.03319,3.80338,3.80338,0.00000,33.72846178,77.14094091,51.96462,51.96462,NaN,NaN,113.80824,NaN,8.996095,NaN,NaN,3.80338,8.721749,11.652940,9.512172,0.292823
C,3.054068,-3.00128,4.206576,17,8.69863,0.00000,8.69863,-0.85455635,-0.03324331,-0.43846,NaN,-0.43846,NaN,NaN,0.03848,8.69863,8.69863,0.00000,22.75577981,99.29123764,56.62559,56.62559,NaN,NaN,220.37176,NaN,11.701443,NaN,NaN,8.69863,9.014590,13.620360,10.450606,0.655757
H,6.910857,-2.778462,5.0861,18,9.07712,0.00000,9.07712,-0.72096518,-0.00167910,-0.29731,NaN,-0.29731,NaN,NaN,0.02037,9.07712,9.07712,0.00000,48.93423780,120.48307767,83.78163,83.78163,NaN,NaN,285.17690,NaN,13.979660,NaN,NaN,9.07712,9.418497,13.326195,11.543597,0.480171
H,5.472996,-5.988502,5.16951,19,8.97083,0.00000,8.97083,-0.70812773,-0.00155314,-0.29096,NaN,-0.29096,NaN,NaN,0.01934,8.97083,8.97083,0.00000,41.09468838,105.38398002,70.56838,70.56838,NaN,NaN,236.60043,NaN,12.623244,NaN,NaN,8.97083,9.455982,13.225986,11.479522,0.469677
C,0.93035,-2.043518,3.414894,20,3.88325,0.00000,3.88325,-0.98599904,-0.03324331,-0.42748,NaN,-0.42748,NaN,NaN,0.08037,3.88325,3.88325,0.00000,22.04869022,114.04427924,50.11663,50.11663,NaN,NaN,420.29862,NaN,17.799702,NaN,NaN,3.88325,9.052498,13.315762,10.272095,0.801598
H,-0.434701,-1.39399,4.816942,21,9.13567,0.00000,9.13567,-0.94119663,-0.04819642,-0.27360,NaN,-0.27360,NaN,NaN,0.03539,9.13567,9.13567,0.00000,37.48385904,112.38216008,75.09751,75.09751,NaN,NaN,281.82833,NaN,13.438679,NaN,NaN,9.13567,9.805433,13.864058,11.533856,0.465324
Cl,-1.116252,-1.588763,-4.266849,22,20.78629,0.00000,20.78629,-0.58318782,-0.00871985,-0.12592,NaN,-0.12592,NaN,NaN,0.00950,20.78629,20.78629,0.00000,2.89666987,98.94334872,28.34936,28.34936,NaN,NaN,207.79793,NaN,11.620342,NaN,NaN,20.78629,8.778167,11.881818,9.402514,0.253887
Cl,-2.153384,-5.52359,0.117894,23,21.90610,0.00000,21.90610,-0.42243384,-0.00358692,-0.09832,NaN,-0.09832,NaN,NaN,0.00981,21.90610,20.80447,1.10164,-2.80787571,76.71277665,15.01771,15.88396,-1.34159,129.34832,128.69313,0.65519,8.745358,0.005040,0.651869,21.90610,8.607557,11.766493,9.201135,0.272508
O,-2.875256,0.084764,1.146916,24,6.54450,0.00000,6.54450,-0.56391107,-0.03056183,-0.16215,NaN,-0.16215,NaN,NaN,0.00544,6.54450,6.54450,0.00000,38.89489763,132.54876158,65.85898,65.85898,NaN,NaN,360.34950,NaN,16.132813,NaN,NaN,6.54450,10.292989,16.060025,12.348214,1.235918
O,1.418307,1.439115,-0.597288,25,7.49519,0.00000,7.49519,-0.76642950,-0.02219774,-0.28033,NaN,-0.28033,NaN,NaN,0.02175,7.49519,7.49519,0.00000,35.99385235,134.66933551,68.68502,68.68502,NaN,NaN,453.85242,NaN,17.701162,NaN,NaN,7.49519,9.778850,15.754298,12.266683,1.482778
C,-4.055666,2.626222,-2.141496,26,4.46774,0.00000,4.46774,-1.74815160,-0.08012576,-0.92110,NaN,-0.92110,NaN,NaN,0.19883,4.46774,4.46774,0.00000,52.12294777,137.95419047,102.52174,102.52174,NaN,NaN,383.14561,NaN,16.634679,NaN,NaN,4.46774,9.868276,16.384581,12.588268,1.330263
