Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.180146,-1.635785,1.042913,1,0.32682,0.00000,0.32682,-0.38357041,-0.00605964,-0.13568,NaN,-0.13568,NaN,NaN,0.01286,0.32682,0.32682,0.00000,40.95910872,116.07452461,70.02857,70.02857,NaN,NaN,319.37797,NaN,12.457428,NaN,NaN,0.32682,10.825524,13.092943,11.570755,0.264969
O,3.007102,-2.947177,0.01066,2,10.26201,0.00000,10.26201,-0.79953505,-0.00210947,-0.24549,NaN,-0.24549,NaN,NaN,0.03971,10.26201,10.26201,0.00000,7.77155904,116.90828559,45.42770,45.42770,NaN,NaN,594.53329,NaN,20.800985,NaN,NaN,10.26201,9.846973,15.395494,12.495888,0.957809
C,4.990975,-1.818423,-0.647063,3,4.30962,0.00000,4.30962,-3.74969996,-0.13038051,-1.74940,NaN,-1.74940,NaN,NaN,0.84430,4.30962,4.30962,0.00000,68.16951860,116.81713990,95.53632,95.53632,NaN,NaN,99.51479,NaN,8.138467,NaN,NaN,4.30962,9.784240,15.395494,12.995421,0.823715
C,7.356439,-3.10365,-1.024672,4,5.70809,0.00000,5.70809,-1.94968026,-0.01824303,-0.43139,NaN,-0.43139,NaN,NaN,0.10992,5.70809,5.70809,0.00000,63.16404230,112.41179408,76.55574,76.55574,NaN,NaN,67.67483,NaN,6.538524,NaN,NaN,5.70809,10.513010,15.289558,11.613401,0.956556
H,4.936668,0.203873,-1.00287,5,9.59045,0.00000,9.59045,-3.23049112,-0.01551513,-0.50147,NaN,-0.50147,NaN,NaN,0.25183,9.59045,9.59045,0.00000,70.59061831,140.48206331,112.40908,112.40908,NaN,NaN,202.61574,NaN,11.065061,NaN,NaN,9.59045,9.612272,15.307705,13.002792,1.116886
C,7.630319,-5.722686,-0.589812,6,4.73126,0.00000,4.73126,-1.74773612,-0.04249768,-0.90943,NaN,-0.90943,NaN,NaN,0.19863,4.73126,4.73126,0.00000,55.04996066,94.26534468,65.57449,65.57449,NaN,NaN,31.83027,NaN,3.848457,NaN,NaN,4.73126,10.169158,14.880993,11.009256,0.649215
C,9.429919,-1.652053,-1.867418,7,4.75327,0.00000,4.75327,-1.83336061,-0.03358709,-0.91326,NaN,-0.91326,NaN,NaN,0.21738,4.75327,4.75327,0.00000,64.55308304,102.80244263,77.55030,77.55030,NaN,NaN,43.87308,NaN,5.498624,NaN,NaN,4.75327,10.239601,14.909887,11.092546,0.655539
C,9.961126,-6.858366,-0.993992,8,4.73913,0.00000,4.73913,-1.19273464,-0.00527260,-0.62916,NaN,-0.62916,NaN,NaN,0.11003,4.73913,4.73913,0.00000,55.04996066,94.26534468,63.31547,63.31547,NaN,NaN,31.93418,NaN,3.918385,NaN,NaN,4.73913,10.014946,14.880993,10.826205,0.645133
H,6.016476,-6.810537,0.056711,9,9.12786,0.00000,9.12786,-1.66020668,-0.00030220,-0.33238,NaN,-0.33238,NaN,NaN,0.13837,9.12786,9.12786,0.00000,37.24510858,100.66366116,74.89747,74.89747,NaN,NaN,103.69133,NaN,8.180392,NaN,NaN,9.12786,10.775563,15.395494,12.222634,0.683438
C,11.756485,-2.807468,-2.269376,10,4.72783,0.00000,4.72783,-1.01458071,-0.00672307,-0.56178,NaN,-0.56178,NaN,NaN,0.07759,4.72783,4.72783,0.00000,61.67511814,94.14116937,69.69443,69.69443,NaN,NaN,27.70326,NaN,4.103192,NaN,NaN,4.72783,10.009017,14.880993,10.817284,0.623845
H,9.185207,0.362387,-2.193067,11,8.79144,0.00000,8.79144,-1.74883012,-0.00121818,-0.36991,NaN,-0.36991,NaN,NaN,0.15499,8.79144,8.79144,0.00000,82.74325955,143.29752689,108.33596,108.33596,NaN,NaN,259.99967,NaN,13.838349,NaN,NaN,8.79144,10.850652,15.253934,12.334869,0.598790
C,12.018628,-5.405269,-1.830487,12,4.74751,0.00000,4.74751,-1.20542938,-0.00238714,-0.75909,NaN,-0.75909,NaN,NaN,0.10703,4.74751,4.74751,0.00000,59.30653402,94.26534468,68.72780,68.72780,NaN,NaN,26.41747,NaN,3.951671,NaN,NaN,4.74751,10.263697,14.880993,11.006786,0.595472
H,10.19624,-8.869715,-0.664065,13,8.88623,0.00000,8.88623,-1.15365175,-0.00010071,-0.25710,NaN,-0.25710,NaN,NaN,0.07767,8.88623,8.88623,0.00000,63.58341505,109.79276286,80.76385,80.76385,NaN,NaN,148.45514,NaN,9.964953,NaN,NaN,8.88623,10.555065,14.582406,12.034752,0.609264
H,13.36087,-1.705189,-2.917108,14,8.92354,0.00000,8.92354,-0.98608160,-0.00020178,-0.22213,NaN,-0.22213,NaN,NaN,0.05650,8.92354,8.92354,0.00000,71.91993588,120.75865986,91.26624,91.26624,NaN,NaN,165.04261,NaN,10.668792,NaN,NaN,8.92354,10.519176,14.686434,12.073423,0.614272
H,13.836372,-6.308165,-2.140926,15,8.87829,0.00000,8.87829,-1.11514039,-0.00053165,-0.25521,NaN,-0.25521,NaN,NaN,0.07517,8.87829,8.87829,0.00000,71.74158339,115.05006504,86.66836,86.66836,NaN,NaN,136.54079,NaN,9.573092,NaN,NaN,8.87829,10.888005,14.577383,12.146483,0.575635
C,6.13407,1.54154,4.066617,16,3.49168,0.00000,3.49168,-0.90690895,-0.12652729,-0.52237,NaN,-0.52237,NaN,NaN,0.05146,3.49168,3.49168,0.00000,37.32231286,80.80526976,57.32018,57.32018,NaN,NaN,140.19914,NaN,10.163542,NaN,NaN,3.49168,8.776812,11.823362,9.574946,0.282839
C,3.700843,1.080867,3.872158,17,9.31474,0.00000,9.31474,-0.86353198,-0.01503622,-0.45713,NaN,-0.45713,NaN,NaN,0.03856,9.31474,9.31474,0.00000,23.29080357,101.07166294,61.11365,61.11365,NaN,NaN,226.69325,NaN,12.054540,NaN,NaN,9.31474,9.029492,13.915688,10.434168,0.690445
H,6.988292,3.156525,3.118774,18,9.06042,0.00000,9.06042,-0.84377270,-0.00150232,-0.34422,NaN,-0.34422,NaN,NaN,0.02804,9.06042,9.06042,0.00000,53.19962648,127.88780794,89.84539,89.84539,NaN,NaN,297.53877,NaN,14.186661,NaN,NaN,9.06042,9.580470,13.317346,11.572448,0.454243
