Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-1.694087,-1.635936,-1.368714,1,0.21413,0.00000,0.21413,-0.12244429,-0.00878566,-0.04871,NaN,-0.04871,NaN,NaN,0.00035,0.21413,0.21413,0.00000,47.18776380,99.83079467,73.17531,73.17531,NaN,NaN,253.07419,NaN,14.904496,NaN,NaN,0.21413,10.876773,12.986629,11.703018,0.272074
O,-5.089512,-0.552586,-0.688114,2,8.72195,0.00000,8.72195,-0.77126687,-0.00227142,-0.24520,NaN,-0.24520,NaN,NaN,0.04373,8.72195,8.72195,0.00000,35.65592165,100.04903045,58.26447,58.26447,NaN,NaN,202.21084,NaN,11.717054,NaN,NaN,8.72195,10.096797,15.247450,12.603435,0.756153
C,-7.1224,-1.782913,-0.799997,3,4.22398,0.00000,4.22398,-3.70168859,-0.10595906,-1.66075,NaN,-1.66075,NaN,NaN,0.81442,4.22398,4.22398,0.00000,62.72503857,103.42723749,88.46811,88.46811,NaN,NaN,52.21117,NaN,5.662641,NaN,NaN,4.22398,9.665897,15.247450,12.813825,0.972025
C,-9.446781,-0.841206,0.265238,4,5.70425,0.00000,5.70425,-1.90172238,-0.03564843,-0.44710,NaN,-0.44710,NaN,NaN,0.09627,5.70425,5.70425,0.00000,62.55590919,95.19270491,73.61198,73.61198,NaN,NaN,50.57635,NaN,5.819162,NaN,NaN,5.70425,10.446796,15.112999,11.538728,0.948992
H,-7.159466,-3.584769,-1.812631,5,10.42138,0.00000,10.42138,-3.06455757,-0.00271594,-0.41269,NaN,-0.41269,NaN,NaN,0.28901,10.42138,10.42138,0.00000,22.65899269,110.95325998,80.39046,80.39046,NaN,NaN,441.37711,NaN,16.369024,NaN,NaN,10.42138,8.892789,15.171207,12.094440,2.097581
C,-9.540158,1.426584,1.668394,6,4.72319,0.00000,4.72319,-1.71694106,-0.03564843,-0.88040,NaN,-0.88040,NaN,NaN,0.18614,4.72319,4.72319,0.00000,58.72909329,93.07989023,70.28566,70.28566,NaN,NaN,29.66319,NaN,4.293458,NaN,NaN,4.72319,10.126225,14.823547,10.978456,0.669724
C,-11.668369,-2.259515,-0.136956,7,4.72210,0.00000,4.72210,-1.78345962,-0.03564843,-0.89933,NaN,-0.89933,NaN,NaN,0.20130,4.72210,4.72210,0.00000,56.83443212,93.07989023,69.17923,69.17923,NaN,NaN,34.22448,NaN,4.479161,NaN,NaN,4.72210,10.178762,14.823547,11.023161,0.675466
C,-11.831107,2.254988,2.641899,8,4.72727,0.00000,4.72727,-1.17582279,-0.00431936,-0.62329,NaN,-0.62329,NaN,NaN,0.10559,4.72727,4.72727,0.00000,58.63558823,92.32117674,66.51492,66.51492,NaN,NaN,27.00501,NaN,4.022838,NaN,NaN,4.72727,9.974043,14.768619,10.787263,0.639936
H,-7.817684,2.489272,1.976631,9,9.29014,0.00000,9.29014,-1.62689728,-0.00015386,-0.33102,NaN,-0.33102,NaN,NaN,0.13655,9.29014,9.29014,0.00000,51.25067137,116.87538156,88.38956,88.38956,NaN,NaN,148.71229,NaN,9.915106,NaN,NaN,9.29014,10.679457,15.247450,12.249034,0.596086
C,-13.958377,-1.412464,0.840805,10,4.73300,0.00000,4.73300,-1.00318947,-0.00951684,-0.56275,NaN,-0.56275,NaN,NaN,0.07124,4.73300,4.73300,0.00000,56.55153214,91.83185835,64.03872,64.03872,NaN,NaN,25.64526,NaN,3.733293,NaN,NaN,4.73300,9.948796,14.768619,10.754242,0.595326
