Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.256676,2.140432,1.6879,1,0.38392,0.00000,0.38392,-0.24905248,-0.00825702,-0.06346,NaN,-0.06346,NaN,NaN,0.00180,0.38392,0.38392,0.00000,48.42345271,98.30092898,65.98372,65.98372,NaN,NaN,61.23662,NaN,5.799734,NaN,NaN,0.38392,10.861205,12.796803,11.537825,0.142529
O,-2.331302,4.481939,0.765609,2,10.07994,0.00000,10.07994,-0.89416376,-0.00318797,-0.26340,NaN,-0.26340,NaN,NaN,0.05079,10.07994,10.07994,0.00000,16.19455164,99.06639494,51.03800,51.03800,NaN,NaN,451.27697,NaN,18.126614,NaN,NaN,10.07994,9.956791,15.425388,12.607406,0.825523
C,-3.0274,5.141497,-1.406257,3,4.49227,0.00000,4.49227,-3.98204304,-0.11422567,-2.01374,NaN,-2.01374,NaN,NaN,1.15507,4.49227,4.49227,0.00000,74.75447782,119.74898143,101.09079,101.09079,NaN,NaN,95.76476,NaN,8.089378,NaN,NaN,4.49227,11.974176,15.425388,13.410221,0.326084
C,-5.215482,6.689802,-1.820046,4,5.68592,0.00000,5.68592,-1.99185496,-0.00884431,-0.42241,NaN,-0.42241,NaN,NaN,0.11323,5.68592,5.68592,0.00000,64.81344024,110.34263054,80.72753,80.72753,NaN,NaN,79.58367,NaN,7.212732,NaN,NaN,5.68592,10.580132,15.337724,11.698186,0.960151
H,-1.940186,4.511277,-3.05128,5,10.16349,0.00000,10.16349,-3.37667051,-0.00357363,-0.47391,NaN,-0.47391,NaN,NaN,0.42586,10.16349,10.16349,0.00000,37.69281981,127.90135537,97.39836,97.39836,NaN,NaN,406.78350,NaN,15.489490,NaN,NaN,10.16349,9.022427,15.295657,12.632102,1.782665
C,-6.742036,7.536961,0.204933,6,4.72048,0.00000,4.72048,-1.83135363,-0.04204523,-0.94263,NaN,-0.94263,NaN,NaN,0.22116,4.72048,4.72048,0.00000,58.20600670,100.89106096,72.06433,72.06433,NaN,NaN,42.66306,NaN,5.226347,NaN,NaN,4.72048,10.261489,15.016097,11.115415,0.670258
C,-5.842136,7.318618,-4.337961,7,4.75388,0.00000,4.75388,-1.89247124,-0.02575130,-0.95101,NaN,-0.95101,NaN,NaN,0.23605,4.75388,4.75388,0.00000,63.08477307,104.10143847,78.32808,78.32808,NaN,NaN,50.18219,NaN,5.621247,NaN,NaN,4.75388,10.350423,15.016097,11.184929,0.672028
C,-8.862311,8.992009,-0.304418,8,4.70962,0.00000,4.70962,-1.22000636,-0.00459368,-0.64157,NaN,-0.64157,NaN,NaN,0.11808,4.70962,4.70962,0.00000,58.20600670,100.89106096,68.92558,68.92558,NaN,NaN,36.47461,NaN,4.368063,NaN,NaN,4.70962,10.081678,15.016097,10.899027,0.650497
H,-6.2384,7.023734,2.124698,9,9.14783,0.00000,9.14783,-1.75446525,-0.00018719,-0.35145,NaN,-0.35145,NaN,NaN,0.15324,9.14783,9.14783,0.00000,41.40134403,109.90956759,82.17607,82.17607,NaN,NaN,122.98652,NaN,8.805335,NaN,NaN,9.14783,10.825005,15.425388,12.263532,0.663688
C,-7.971955,8.779891,-4.826644,10,4.73922,0.00000,4.73922,-1.03577283,-0.00842406,-0.56949,NaN,-0.56949,NaN,NaN,0.08140,4.73922,4.73922,0.00000,62.53974242,100.89106096,71.26910,71.26910,NaN,NaN,31.17618,NaN,4.154643,NaN,NaN,4.73922,10.071251,15.016097,10.888859,0.627212
H,-4.652339,6.651929,-5.873707,11,8.77977,0.00000,8.77977,-1.79147367,-0.00012996,-0.36350,NaN,-0.36350,NaN,NaN,0.16510,8.77977,8.77977,0.00000,77.23755216,129.77056994,100.87869,100.87869,NaN,NaN,178.65618,NaN,11.428449,NaN,NaN,8.77977,10.945217,15.240117,12.377294,0.610995
C,-9.475608,9.611546,-2.813279,12,4.76224,0.00000,4.76224,-1.25326842,-0.00157535,-0.79118,NaN,-0.79118,NaN,NaN,0.11401,4.76224,4.76224,0.00000,62.07280317,100.89106096,72.94633,72.94633,NaN,NaN,29.29879,NaN,4.121538,NaN,NaN,4.76224,10.378489,15.016097,11.110024,0.581437
H,-10.051243,9.652925,1.231489,13,8.94401,0.00000,8.94401,-1.17912266,-0.00001729,-0.26124,NaN,-0.26124,NaN,NaN,0.08102,8.94401,8.94401,0.00000,67.45117570,115.83264927,86.69513,86.69513,NaN,NaN,149.57664,NaN,9.897036,NaN,NaN,8.94401,10.616489,14.643801,12.101632,0.623174
H,-8.466519,9.273351,-6.755246,14,8.89438,0.00000,8.89438,-0.99982996,-0.00003195,-0.22268,NaN,-0.22268,NaN,NaN,0.05807,8.89438,8.89438,0.00000,71.07275202,119.38532517,90.44172,90.44172,NaN,NaN,152.71380,NaN,10.048060,NaN,NaN,8.89438,10.634317,14.729581,12.120404,0.618212
H,-11.140279,10.751453,-3.194992,15,8.85311,0.00000,8.85311,-1.14556917,-0.00000979,-0.26179,NaN,-0.26179,NaN,NaN,0.08034,8.85311,8.85311,0.00000,74.46254256,118.33187378,90.16914,90.16914,NaN,NaN,132.64534,NaN,9.383393,NaN,NaN,8.85311,11.018292,14.649327,12.215476,0.570793
C,-6.831169,1.668316,4.635623,16,3.89113,0.00000,3.89113,-0.19878300,-0.01818325,-0.09178,NaN,-0.09178,NaN,NaN,0.00272,3.89113,3.89113,0.00000,30.59430885,66.09578250,44.91200,44.91200,NaN,NaN,66.41812,NaN,6.841664,NaN,NaN,3.89113,8.485041,11.539235,9.232926,0.298303
C,-4.476791,1.001872,4.244665,17,10.30275,0.00000,10.30275,-0.43324567,-0.01521744,-0.06202,NaN,-0.06202,NaN,NaN,0.00170,10.30275,10.30275,0.00000,18.33661073,81.58963411,52.87194,52.87194,NaN,NaN,186.33471,NaN,11.669735,NaN,NaN,10.30275,8.777758,12.787344,10.238331,0.567149
H,-8.367794,0.909797,3.495474,18,9.09742,0.00000,9.09742,-0.18412195,-0.00094540,-0.04671,NaN,-0.04671,NaN,NaN,0.00096,9.09742,9.09742,0.00000,47.91082091,117.82376103,80.64514,80.64514,NaN,NaN,295.31455,NaN,14.400061,NaN,NaN,9.09742,9.226064,13.196137,11.415160,0.506809
H,-7.323704,3.012751,6.114959,19,8.98048,0.00000,8.98048,-0.17326985,-0.00094540,-0.03855,NaN,-0.03855,NaN,NaN,0.00100,8.98048,8.98048,0.00000,37.31419589,104.12234474,68.58102,68.58102,NaN,NaN,256.14005,NaN,13.137559,NaN,NaN,8.98048,9.195555,13.145426,11.359573,0.494942
C,-2.123017,0.389656,3.836796,20,4.83237,0.00000,4.83237,-0.48623930,-0.01290596,-0.09317,NaN,-0.09317,NaN,NaN,0.00898,4.83237,4.83237,0.00000,17.01259954,109.52314168,52.83550,52.83550,NaN,NaN,597.70451,NaN,22.311090,NaN,NaN,4.83237,8.969621,13.130007,10.174545,0.782983
H,-1.359494,-1.226185,4.867664,21,9.22484,0.00000,9.22484,-0.25904968,-0.02108982,-0.05457,NaN,-0.05457,NaN,NaN,0.00094,9.22484,9.22484,0.00000,29.56158172,110.25193971,73.11230,73.11230,NaN,NaN,342.35707,NaN,15.162088,NaN,NaN,9.22484,9.677213,14.471287,11.381826,0.458229
Cl,2.890924,3.958421,-1.132475,22,20.85876,0.00000,20.85876,-0.25241567,-0.00156864,-0.05547,NaN,-0.05547,NaN,NaN,0.00250,20.85876,20.85876,0.00000,1.85370152,86.68048754,30.20775,30.20775,NaN,NaN,190.01022,NaN,10.506021,NaN,NaN,20.85876,8.831893,11.903417,9.486035,0.267396
Cl,1.55961,4.693426,4.744668,23,23.41928,0.00000,23.41928,-0.18761697,-0.00058929,-0.03359,NaN,-0.03359,NaN,NaN,0.00123,23.41928,20.68793,2.73135,-5.03524686,70.34448412,9.29598,10.79185,-2.03418,110.84379,108.52212,2.32167,7.971205,0.020507,2.273044,23.41928,8.643584,11.840119,9.243358,0.303781
O,2.625531,-0.43072,2.534635,24,9.56913,0.00000,9.56913,-1.32363868,-0.00376252,-0.15129,NaN,-0.15129,NaN,NaN,0.02047,9.56913,9.56913,0.00000,12.30343698,122.41473219,51.25597,51.25597,NaN,NaN,608.91987,NaN,20.891697,NaN,NaN,9.56913,10.153681,16.012693,12.014180,1.351518
O,-0.629802,0.11193,-1.300496,25,9.63072,0.00000,9.63072,-1.21833770,-0.01632940,-0.16509,NaN,-0.16509,NaN,NaN,0.01651,9.63072,9.63072,0.00000,29.78389194,122.18631320,63.39092,63.39092,NaN,NaN,450.23208,NaN,18.053958,NaN,NaN,9.63072,9.790968,15.818846,11.934370,1.253268
C,3.241383,-3.20558,-0.815466,26,4.86059,0.00000,4.86059,-2.01617945,-0.04751948,-1.12420,NaN,-1.12420,NaN,NaN,0.26494,4.86059,4.86059,0.00000,87.34136747,151.02089572,117.60730,117.60730,NaN,NaN,160.02580,NaN,11.050488,NaN,NaN,4.86059,11.527930,16.767779,12.908384,1.051839
