Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,1.113536,-1.822671,1.774181,1,0.35704,0.00000,0.35704,-0.68257211,-0.07288641,-0.33860,NaN,-0.33860,NaN,NaN,0.02275,0.35704,0.35704,0.00000,45.44848169,102.95563084,65.89613,65.89613,NaN,NaN,166.16127,NaN,9.790366,NaN,NaN,0.35704,10.694084,12.789082,11.413816,0.211148
O,-1.836804,-1.469823,-0.379839,2,9.04812,0.00000,9.04812,-0.91752183,-0.02509857,-0.35499,NaN,-0.35499,NaN,NaN,0.05598,9.04812,9.04812,0.00000,53.86420668,117.11731484,78.83284,78.83284,NaN,NaN,164.13088,NaN,10.492216,NaN,NaN,9.04812,10.612207,15.373575,12.827530,0.711105
C,-3.503118,-3.085263,-0.899512,3,4.15380,0.00000,4.15380,-4.32822543,-0.15155294,-1.95471,NaN,-1.95471,NaN,NaN,1.04840,4.15380,4.15380,0.00000,76.26717701,119.97831516,105.04247,105.04247,NaN,NaN,58.48441,NaN,5.964936,NaN,NaN,4.15380,9.821905,15.373575,12.989896,0.933490
C,-5.769927,-2.437057,-2.262476,4,5.66760,0.00000,5.66760,-2.20503988,-0.07416623,-0.62032,NaN,-0.62032,NaN,NaN,0.07844,5.66760,5.66760,0.00000,77.20189166,112.89598098,90.46206,90.46206,NaN,NaN,56.96748,NaN,6.107701,NaN,NaN,5.66760,10.580386,15.269526,11.677187,0.912659
H,-3.192611,-5.063189,-0.392449,5,10.56268,0.00000,10.56268,-3.78359640,-0.01268745,-0.48627,NaN,-0.48627,NaN,NaN,0.38827,10.56268,10.56268,0.00000,31.79140939,123.70158913,92.72537,92.72537,NaN,NaN,464.15143,NaN,16.901121,NaN,NaN,10.56268,8.943247,15.350514,12.251323,2.044116
C,-6.166218,0.010409,-3.248725,6,4.72540,0.00000,4.72540,-1.79923553,-0.05187648,-0.98709,NaN,-0.98709,NaN,NaN,0.19726,4.72540,4.72540,0.00000,75.83359963,110.43260838,90.85683,90.85683,NaN,NaN,47.32095,NaN,5.642576,NaN,NaN,4.72540,10.305682,15.005457,11.151168,0.638699
C,-7.598555,-4.341718,-2.632283,7,4.67474,0.00000,4.67474,-1.92414954,-0.04414130,-1.01668,NaN,-1.01668,NaN,NaN,0.21932,4.67474,4.67474,0.00000,70.34002625,110.43260838,83.38741,83.38741,NaN,NaN,36.81861,NaN,4.525225,NaN,NaN,4.67474,10.308239,15.005457,11.162738,0.671340
C,-8.376504,0.540505,-4.5576,8,4.76872,0.00000,4.76872,-1.40609757,-0.01536106,-0.76477,NaN,-0.76477,NaN,NaN,0.13862,4.76872,4.76872,0.00000,74.79431526,110.43260838,84.78472,84.78472,NaN,NaN,35.81180,NaN,4.684083,NaN,NaN,4.76872,10.129863,15.005457,10.935063,0.632702
H,-4.723663,1.442885,-2.997138,9,9.74517,0.00000,9.74517,-1.75812064,-0.00977323,-0.44750,NaN,-0.44750,NaN,NaN,0.16592,9.74517,9.74517,0.00000,73.50206122,145.74117384,112.51920,112.51920,NaN,NaN,188.66259,NaN,10.989465,NaN,NaN,9.74517,10.947554,15.373575,12.363655,0.613527
C,-9.815566,-3.791839,-3.935245,10,4.74259,0.00000,4.74259,-1.29584505,-0.01643251,-0.73623,NaN,-0.73623,NaN,NaN,0.11202,4.74259,4.74259,0.00000,70.02609849,108.78919669,77.74297,77.74297,NaN,NaN,28.93561,NaN,3.726807,NaN,NaN,4.74259,10.085025,14.806896,10.892032,0.599106
