Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
C,1.940656,-4.381345,-2.65297,17,10.02105,0.00000,10.02105,-0.78514142,-0.00818010,-0.41887,NaN,-0.41887,NaN,NaN,0.03830,10.02105,10.02105,0.00000,30.32828649,99.09152883,57.47015,57.47015,NaN,NaN,126.48606,NaN,8.733919,NaN,NaN,10.02105,9.037592,13.735118,10.440164,0.720167
H,4.485758,-7.413894,-2.584359,18,8.96970,0.00000,8.96970,-0.81755798,-0.00181937,-0.30589,NaN,-0.30589,NaN,NaN,0.02660,8.96970,8.96970,0.00000,45.23973612,108.31693876,73.31574,73.31574,NaN,NaN,231.49301,NaN,12.572647,NaN,NaN,8.96970,9.515957,13.310937,11.543560,0.462024
H,5.402937,-4.645202,-4.558998,19,9.00175,0.00000,9.00175,-0.81030669,-0.00337753,-0.30397,NaN,-0.30397,NaN,NaN,0.02438,9.00175,9.00175,0.00000,46.66012072,113.77850959,77.74538,77.74538,NaN,NaN,247.90137,NaN,13.026924,NaN,NaN,9.00175,9.580615,13.301292,11.554897,0.467223
C,-0.034287,-3.146832,-1.864729,20,4.68445,0.00000,4.68445,-0.85689994,-0.00818010,-0.39265,NaN,-0.39265,NaN,NaN,0.07229,4.68445,4.68445,0.00000,30.04312872,102.60250756,52.55819,52.55819,NaN,NaN,194.37975,NaN,10.884516,NaN,NaN,4.68445,8.952136,13.420753,9.984521,0.714722
H,-1.754448,-3.239616,-2.992867,21,10.17850,0.00000,10.17850,-2.04049627,-0.07065707,-0.35769,NaN,-0.35769,NaN,NaN,0.05034,10.17850,10.17850,0.00000,49.24299807,135.22104969,95.03818,95.03818,NaN,NaN,540.77543,NaN,20.593715,NaN,NaN,10.17850,9.621102,15.191921,11.943762,0.953960
Cl,0.04154,1.718466,4.341168,22,22.03214,0.00000,22.03214,-0.42761288,-0.00578094,-0.10183,NaN,-0.10183,NaN,NaN,0.01039,22.03214,22.03214,0.00000,2.42835310,93.57688270,29.43923,29.43923,NaN,NaN,259.92489,NaN,12.974140,NaN,NaN,22.03214,8.838043,12.221583,9.483959,0.288535
Cl,0.790334,-4.238973,3.8017,23,21.35525,0.00000,21.35525,-0.39372894,-0.00190311,-0.08508,NaN,-0.08508,NaN,NaN,0.00945,21.35525,20.96400,0.39125,-1.21565072,89.47848364,20.21672,20.60536,-0.60744,144.70868,144.59230,0.11637,9.049479,0.000804,0.116280,21.35525,8.742174,11.824168,9.377653,0.289171
O,-0.890462,1.611929,-1.234072,24,9.49921,0.00000,9.49921,-1.53543206,-0.00759869,-0.25188,NaN,-0.25188,NaN,NaN,0.03864,9.49921,9.49921,0.00000,30.22968158,129.10138175,61.47880,61.47880,NaN,NaN,501.84783,NaN,18.892011,NaN,NaN,9.49921,10.650426,15.908298,11.989083,1.235825
O,-3.573198,-1.33223,1.815023,25,10.40411,0.00000,10.40411,-1.40054057,-0.00677634,-0.22563,NaN,-0.22563,NaN,NaN,0.02478,10.40411,10.40411,0.00000,13.59411500,123.17637081,50.47076,50.47076,NaN,NaN,706.81721,NaN,22.520246,NaN,NaN,10.40411,9.895309,16.161437,12.008856,1.277873
C,-4.934627,3.1672,-0.460679,26,4.90045,0.00000,4.90045,-2.32001069,-0.15704315,-1.22690,NaN,-1.22690,NaN,NaN,0.31155,4.90045,4.90045,0.00000,98.62318518,160.65316010,123.63667,123.63667,NaN,NaN,200.83796,NaN,12.654581,NaN,NaN,4.90045,11.628034,16.950621,13.037811,1.047847
C,-5.978957,0.710537,-1.275626,27,4.89180,0.00000,4.89180,-2.32088817,-0.13871856,-1.27493,NaN,-1.27493,NaN,NaN,0.31973,4.89180,4.89180,0.00000,102.58550073,162.31318459,129.19653,129.19653,NaN,NaN,74.88371,NaN,6.868547,NaN,NaN,4.89180,11.764593,16.879528,13.112273,1.016167
C,-6.278759,-3.759143,-0.715768,28,5.98717,0.00000,5.98717,-2.44992399,-0.09624274,-1.13534,NaN,-1.13534,NaN,NaN,0.39307,5.98717,5.98717,0.00000,97.66209400,162.31318459,120.85002,120.85002,NaN,NaN,73.75494,NaN,6.014223,NaN,NaN,5.98717,11.935229,17.090048,13.401228,0.809233
C,-1.349986,5.870943,-0.093617,29,6.28514,0.00000,6.28514,-2.25293921,-0.07408450,-1.04705,NaN,-1.04705,NaN,NaN,0.33043,6.28514,6.28514,0.00000,70.25855455,160.65316010,111.65513,111.65513,NaN,NaN,192.60723,NaN,11.867103,NaN,NaN,6.28514,10.387048,16.916802,13.158700,0.827791
