Sample Name,Atom Number,Occupied Orbitals,Molecule Weight,HOMO,LUMO,HOMO-LUMO Gap,Principal_Moment_I1,Principal_Moment_I2,Principal_Moment_I3,Farthest Distance,Molecular Radius,Molecular Size Short,Molecular Size Medium,Molecular Size Long,Long/Sum Size Ratio,Length/Diameter,MPP,SDP,Dipole Moment (a.u.),ODI LUMO+1,ODI LUMO,ODI HOMO,ODI HOMO-1,ODI Mean,ODI Std,Isosurface area,Sphericity,LEAE Minimal Value,LEAE Maximal Value,LEAE Average Value,Surface exposed atom num,ESP Minimal Value,ESP Maximal Value,ESP Overall Average Value (kcal/mol),ESP Overall Variance ((kcal/mol)^2),Balance of Charges (nu),Product of sigma^2_tot and nu ((kcal/mol)^2),Internal Charge Separation (Pi) (kcal/mol),Molecular Polarity Index (MPI) (kcal/mol),Polar Surface Area (Angstrom^2),Polar Surface Area (%),ALIE Minimal Value,ALIE Maximal Value,ALIE Average Value,ALIE Variance,Shape_Gyradius,Shape_Asphericity,Shape_Relative_Gyradius,Shape_Waist_Variance,Shape_Geometric_Asphericity
4i_R_bp1,59,149.0,582.48935,-0.231162,-0.168512,0.06265,4259.0355,6575.4864,9039.7722,14.096,8.248,8.444,13.373,16.463,0.43006792058516197,0.9979995150339478,1.303905,5.713702,5.862899,17.09,14.52,5.17,4.71,10.3725,5.510364665791185,445.48144,0.5206,-3.96738,-9e-05,-0.48484,59,-19.04012,166.55706,78.40451,1315.52996,0.02245558,29.54099,30.9511,78.5999,434.43,97.52,8.69279,17.01868,11.77255,2.12895,7.805288249414536,0.11983074042539767,1.3210345462665616,69.23613587419783,0.09416098321834156
1d_S_bp1,51,119.0,460.40594,-0.232114,-0.14691,0.085204,2259.2568,5004.3769,6130.9194,13.523,7.962,8.244,11.792,15.738,0.439928439648907,0.9883195177091183,1.199447,5.274139,3.940907,18.91,18.82,14.43,7.01,14.7925,4.844411083919283,368.17843,0.5462,-4.36347,-7e-05,-0.46632,51,12.53735,159.7682,83.23646,987.4916,0.0,0.0,25.71922,83.23646,368.18,100.0,8.53666,16.75345,11.75509,2.09801,7.207445287957811,0.17564133289154826,1.301698089294013,84.7261031204827,0.09271977029292343
5i_R_Me_R_bp4,65,157.0,610.54259,-0.238705,-0.164059,0.074646,5264.5673,7450.6948,10099.649,14.857,8.628,9.411,13.545,17.223,0.42865676099454936,0.998087621696801,1.440361,6.45201,8.193606,32.05,20.21,4.9,5.03,15.5475,11.38044896961451,477.48678,0.5079,-3.90437,-1e-05,-0.45672,65,-14.82537,158.71104,82.52792,1166.48678,0.01107613,12.92016,29.47693,82.81089,450.45,94.34,8.6997,17.07096,11.79959,1.79458,8.168410666881105,0.094946431356725,1.307927326473547,80.24070106430565,0.08057896583963856
1h_R_bp4,49,123.0,480.39565,-0.233444,-0.1531,0.080344,2703.0242,5079.1468,6126.6426,13.239,7.819,9.128,12.357,15.441,0.41816064561555544,0.9874024811356952,1.341436,5.954192,6.220662,14.64,14.63,6.92,4.37,10.14,4.584522875938128,378.01566,0.54,-3.72341,-5e-05,-0.53741,49,-8.9523,169.73163,83.59285,1308.48016,0.0049315,6.45277,30.11949,83.69496,360.59,95.39,8.61764,16.97312,11.75494,2.35685,7.190057314780088,0.13069376871638824,1.2436501594613678,90.96675765512154,0.06301263218538382
4a_R_Me_R_bp3,63,145.0,560.52359,-0.230673,-0.155314,0.075359,3464.7058,6346.6234,7815.9211,14.029,8.214,8.84,12.928,16.421,0.42999292990128046,0.9995738982225468,1.559661,6.324913,6.973542,14.09,18.62,4.37,6.85,10.9825,5.6742989655110705,445.04177,0.5201,-4.12821,-0.0001,-0.43736,63,-3.97664,156.90118,84.05861,1109.67326,0.00107099,1.18845,27.28009,84.08644,431.96,97.06,8.46222,16.57622,11.69387,1.82831,7.493441128096431,0.1296494986732814,1.2642728385059603,38.43433767890739,0.08388002769901678
5c_S_bp3,57,153.0,601.36035,-0.233541,-0.145004,0.088537,4062.5399,7465.9926,9482.1168,15.139,8.769,8.14,12.323,17.117,0.4554816391697712,0.9759949823240963,1.322021,5.065503,7.141072,16.44,14.58,9.11,3.9,11.0075,4.908968196067276,439.32917,0.5254,-3.76529,-0.0001,-0.4397,57,-4.00813,164.27274,82.75367,1054.00391,0.00112973,1.19074,25.88268,82.77852,425.95,96.95,8.69281,16.86446,11.69924,1.90249,7.898389179139209,0.13881728774120178,1.3726809467644032,59.434349463989385,0.11843538399382653
4c_R_bp5,57,153.0,601.36035,-0.233002,-0.15641,0.076592,4142.5686,7146.5654,9217.0557,13.882,8.141,8.402,12.022,16.247,0.4430476398243844,0.9978503869303526,1.416924,6.105849,5.055815,9.51,15.36,5.58,5.25,8.924999999999999,4.075723862088794,440.28154,0.5245,-3.74515,-0.00011,-0.44722,57,-2.87364,158.98472,78.88849,1033.51083,0.00064916,0.67092,25.67087,78.89498,428.74,97.38,8.62077,16.73765,11.65384,1.99525,7.803001854189041,0.12749447542361136,1.376696138480013,70.93897348879872,0.09653677857243567
6f_R_bp2,75,161.0,616.63006,-0.231983,-0.149167,0.082816,5022.0933,7021.8729,8688.9927,14.721,8.561,10.978,13.073,16.678,0.4094870976454124,0.9740684499474361,1.847146,8.499834,6.639019,17.59,17.7,5.72,14.08,13.772499999999999,4.871752123209882,509.51961,0.4955,-4.28941,-0.0001,-0.37333,75,-6.22334,148.51592,81.52344,780.15525,0.00354634,2.7667,21.97496,81.56563,496.25,97.4,8.54266,16.4192,11.60882,1.64454,7.748255277752652,0.06740318943575024,1.2054346738641986,72.88890101653632,0.04378265064306305
6h_R_bp3,61,149.0,580.5133,-0.228779,-0.155155,0.073624,4466.4078,6249.5735,8660.4299,14.641,8.52,10.127,13.609,16.882,0.41562853907134767,0.9907276995305165,1.5349,7.889855,7.069952,19.52,20.02,6.04,15.2,15.195,5.608036643960165,455.67161,0.5139,-3.99401,-0.00012,-0.45985,61,-5.88351,155.89659,80.95544,1150.0665,0.00218945,2.51801,28.28746,81.01866,437.52,96.02,8.38764,16.82039,11.64566,2.05223,7.719982432160941,0.09917888786801834,1.2124390528725844,104.99646654141546,0.05976894971349525
4h_R_bp2,61,149.0,580.5133,-0.226436,-0.15833,0.068106,3663.4778,7034.4799,7558.8211,14.085,8.242,10.858,10.99,16.321,0.42759831276690513,0.9901116233923805,1.715704,8.526636,6.627763,4.71,8.26,5.51,5.72,6.049999999999999,1.330432260583003,452.29329,0.5183,-4.07513,-9e-05,-0.4562,61,-6.16905,162.7058,80.0058,1144.97961,0.00263937,3.02202,28.24984,80.07873,435.67,96.32,8.62512,16.6936,11.60066,2.12342,7.4936275364152625,0.11167993993951217,1.2487665284113143,68.90097241438896,0.05769844907142653
