Sample Name,Atom Number,Occupied Orbitals,Molecule Weight,HOMO,LUMO,HOMO-LUMO Gap,Principal_Moment_I1,Principal_Moment_I2,Principal_Moment_I3,Farthest Distance,Molecular Radius,Molecular Size Short,Molecular Size Medium,Molecular Size Long,Long/Sum Size Ratio,Length/Diameter,MPP,SDP,Dipole Moment (a.u.),ODI LUMO+1,ODI LUMO,ODI HOMO,ODI HOMO-1,ODI Mean,ODI Std,Isosurface area,Sphericity,LEAE Minimal Value,LEAE Maximal Value,LEAE Average Value,Surface exposed atom num,ESP Minimal Value,ESP Maximal Value,ESP Overall Average Value (kcal/mol),ESP Overall Variance ((kcal/mol)^2),Balance of Charges (nu),Product of sigma^2_tot and nu ((kcal/mol)^2),Internal Charge Separation (Pi) (kcal/mol),Molecular Polarity Index (MPI) (kcal/mol),Polar Surface Area (Angstrom^2),Polar Surface Area (%),ALIE Minimal Value,ALIE Maximal Value,ALIE Average Value,ALIE Variance,Shape_Gyradius,Shape_Asphericity,Shape_Relative_Gyradius,Shape_Waist_Variance,Shape_Geometric_Asphericity
3j_R_bp3,89,183.0,696.758,-0.232185,-0.141632,0.090553,6157.7678,9945.525,11698.79,14.157,8.279,10.47,14.053,16.137,0.3968765371372356,0.9745742239400894,1.913932,7.951024,4.626062,6.93,33.62,8.76,6.53,13.959999999999999,11.381799066931377,604.72364,0.4609,-3.16881,-9e-05,-0.31075,89,8.59882,163.86765,76.123,656.09498,0.0,0.0,20.51246,76.123,603.96,99.87,8.67546,16.74999,11.48774,1.403,8.440805346981708,0.08791588421998565,1.3167145078280602,45.231165541752894,0.04343165096592277
2a_S_bp1,65,151.0,584.54506,-0.231266,-0.14891,0.082356,5463.5867,9282.5866,13335.837,17.818,10.109,8.713,14.362,19.427,0.4570843725001177,0.9608764467306361,1.31366,6.301491,3.3429,18.09,16.9,6.09,15.16,14.059999999999999,4.717981559947008,467.60674,0.5084,-3.82814,-2e-05,-0.43765,65,7.53329,159.54479,77.53298,883.80675,0.0,0.0,23.9164,77.53298,466.16,99.69,8.55944,16.71661,11.62834,2.00993,9.26173530057559,0.1582137286074003,1.4334530854891578,161.88627825088236,0.13065295623425197
1f_S_bp5,63,135.0,516.51241,-0.228695,-0.150332,0.078363,3030.9868,5727.1777,6941.9116,13.497,7.949,9.411,11.995,15.68,0.42280105700264253,0.9862875833438168,1.589414,6.91375,5.880115,15.78,17.48,14.06,6.65,13.4925,4.1314245424550595,433.7957,0.5152,-4.54094,-0.00014,-0.40093,63,-1.36576,161.3231,83.44714,1002.10517,0.00015685,0.15718,25.10433,83.44876,421.82,97.24,8.43173,16.56918,11.69224,1.88436,7.367113663622721,0.1332945287588961,1.2674298181078576,75.33140528079328,0.06225745168692566
4i_R_bp5,59,149.0,582.48935,-0.236714,-0.16552,0.071195,4159.7675,6842.8396,8971.9236,13.808,8.104,8.931,11.938,16.201,0.43703803614782843,0.9995681145113525,1.480152,6.64358,6.127183,13.16,15.7,5.06,4.91,9.7075,4.807418096026182,446.16818,0.5197,-3.77023,-0.00015,-0.48946,59,-25.9646,165.57173,79.89255,1398.88553,0.04398034,61.52345,31.14498,80.26628,427.78,95.88,8.73071,16.91807,11.78104,2.05283,7.824940780682941,0.12061910082467325,1.357199868030891,52.134736156047595,0.08258685078417355
5e_R_Me_S_bp1,69,177.0,696.5196,-0.231308,-0.154314,0.076994,6210.1155,8652.6821,12158.762,15.199,8.8,8.75,15.084,17.123,0.418072612740191,0.9728977272727273,1.592386,6.67547,4.984221,19.46,18.67,5.13,4.65,11.977500000000001,7.095031271953634,504.1748,0.4998,-4.11163,-4e-05,-0.38071,69,6.94113,150.07903,77.58164,937.20988,0.0,0.0,25.54316,77.58164,502.51,99.67,8.51004,17.42824,12.24494,3.01537,8.322906560880499,0.10266225801376362,1.3198587392405463,57.47620701302422,0.09575318592611855
5e_R_Me_R_bp5,69,177.0,696.5196,-0.235569,-0.153363,0.082207,5989.7973,8928.875,11970.094,14.937,8.669,9.112,13.465,17.001,0.4295568244984587,0.9805629253662476,1.60809,6.741845,5.833903,13.69,14.37,5.0,4.42,9.370000000000001,4.670701232149194,503.94125,0.5001,-3.73247,-7e-05,-0.38106,69,-3.37911,152.40067,79.16163,996.1005,0.00097432,0.97052,25.75398,79.16889,492.62,97.75,8.6805,17.46292,12.25445,2.93489,8.302422675169542,0.10361938432178448,1.3522611528342325,26.519035972131974,0.084652614205171
5i_R_Me_R_bp5,65,157.0,610.54259,-0.236392,-0.162356,0.074036,4947.4135,7831.4501,10755.232,15.344,8.872,8.804,13.563,17.557,0.43976054503556755,0.989461226330027,1.455624,6.486497,7.147486,13.11,14.73,4.45,4.6,9.2225,4.732585841799386,476.34043,0.5094,-3.75547,-6e-05,-0.44477,65,-17.92441,159.78172,81.12729,1171.01765,0.01989741,23.30022,28.78677,81.32733,458.44,96.24,8.74899,16.97041,11.77623,1.75162,8.296160984954152,0.12556094373137766,1.34897027666234,80.19159183146542,0.10111670067562396
3a_R_Me_S_bp4,57,127.0,488.45918,-0.235504,-0.141207,0.094298,2891.7623,5839.1186,7246.7862,13.928,8.164,8.745,13.384,15.761,0.4159672736869886,0.9652743753062224,1.175075,5.922242,5.535645,16.86,15.61,15.0,7.62,13.772499999999999,3.6148677361696095,401.60653,0.5286,-4.08241,-3e-05,-0.42112,57,-6.79536,151.50579,83.54262,1077.78803,0.0032647,3.51866,27.42172,83.58828,390.11,97.14,8.62106,16.54601,11.7402,1.94058,7.642398663535332,0.15601546062471008,1.2968022731106839,92.6510694148918,0.07578605275000992
1g_R_bp5,69,143.0,544.56565,-0.234192,-0.143671,0.090521,3435.4232,6142.6161,7940.1015,14.128,8.264,8.857,11.86,16.393,0.441740770681757,0.9918320425943854,1.464342,6.369951,4.703453,13.42,14.55,13.91,6.94,12.204999999999998,3.0660438679183963,462.24284,0.5083,-4.18124,-0.0001,-0.36435,69,6.406,157.85055,80.89098,821.64332,0.0,0.0,22.62323,80.89098,460.71,99.67,8.66673,16.41663,11.61918,1.68118,7.578894248922841,0.1370235686089476,1.315880650830167,52.55803554048217,0.08851059151379857
4e_S_bp1,63,169.0,668.46637,-0.232045,-0.160289,0.071756,5051.034,8520.2305,10500.383,13.758,8.079,9.312,12.28,15.655,0.4203023062260048,0.9688699096422824,1.642869,6.592413,4.090995,16.46,14.88,5.58,5.21,10.5325,5.169436018561406,478.27717,0.5045,-3.80618,-9e-05,-0.42677,63,8.51936,158.55976,77.10506,1039.61499,0.0,0.0,27.27104,77.10506,477.55,99.85,8.67694,17.11717,12.28594,2.90241,8.018616658243014,0.10954734169035546,1.3743221975157125,108.58013100716111,0.06261340029900159
3e_R_Me_S_bp2,81,183.0,708.61489,-0.235115,-0.154083,0.081032,4941.2025,9705.4936,10654.431,14.876,8.638,10.637,11.983,16.342,0.4194343206200913,0.9459365593887473,1.58108,7.184623,8.105553,15.74,14.99,8.96,5.98,11.4175,4.09427878264292,558.80945,0.4743,-4.34822,-0.00015,-0.31139,81,-8.67936,164.34676,84.32008,1126.05125,0.0055309,6.22808,27.58825,84.38798,541.96,96.98,8.6543,17.38922,12.20195,2.76564,7.984549900425061,0.12113939803111905,1.3010911088590895,90.64272341389139,0.05093520583167486
4a_R_bp1,57,137.0,532.47036,-0.23128,-0.159327,0.071953,3781.2599,5898.8379,8580.8523,14.323,8.361,7.236,13.381,16.702,0.4475468260135588,0.998803970816888,1.069914,4.576728,3.569411,15.9,15.21,5.82,14.23,12.79,4.0676467398239,411.13397,0.5366,-3.91109,-0.0001,-0.46867,57,3.88062,155.87753,79.58514,863.67412,0.0,0.0,23.02222,79.58514,407.55,99.13,8.56251,16.77791,11.68056,1.98569,7.825306188035016,0.14142740603182755,1.3874054029263176,81.11356092646017,0.13558384726888095
7j_S_bp1,99,203.0,772.85418,-0.225822,-0.138434,0.087389,7611.5566,11659.708,14072.207,15.502,8.951,12.399,14.719,17.116,0.3869421711805399,0.9560942911406546,2.289867,9.998089,3.282466,17.52,14.27,14.0,6.33,13.03,4.108789359409898,636.51743,0.4686,-3.54446,-3e-05,-0.27724,99,-2.13261,136.58174,72.93042,628.58457,0.00059145,0.37178,19.85201,72.93337,625.43,98.26,8.43622,16.15802,11.43819,1.46385,8.776935759935473,0.0815843237247895,1.2495138755445239,48.518798806576385,0.025159056129054766
1g_S_bp5,69,143.0,544.56565,-0.233042,-0.141708,0.091334,4013.1984,5246.6696,7793.0075,13.313,7.856,8.522,13.899,15.463,0.4081670362158167,0.9841522403258656,1.390663,6.060602,4.522349,13.14,18.24,13.73,7.17,13.07,3.9363498320144257,464.62327,0.5055,-3.86802,-0.0001,-0.36021,69,10.23641,159.39982,79.82159,857.46045,0.0,0.0,23.78575,79.82159,464.62,100.0,8.66116,16.48203,11.60327,1.67816,7.477577444492776,0.1068001764821655,1.2718675412148894,71.57033285812876,0.07876209618496488
5f_R_bp1,75,161.0,616.63006,-0.229301,-0.141388,0.087913,5509.3994,7728.6826,11429.986,15.736,9.068,8.45,14.778,18.052,0.4373062015503876,0.9953683281870314,1.397169,5.856537,3.489389,16.76,14.0,14.39,5.07,12.555000000000001,4.448665530246121,509.84628,0.4954,-3.82133,-4e-05,-0.35556,75,2.94594,149.74693,76.70536,639.07314,0.0,0.0,19.15497,76.70536,505.4,99.13,8.53546,16.50296,11.59162,1.66085,8.451662996710482,0.12159213841301962,1.3414161090809436,55.70777099575476,0.1161026844780936
3i_S_bp1,71,155.0,594.58464,-0.234897,-0.162846,0.072051,4993.5659,7519.2165,10833.901,15.156,8.778,8.653,14.18,17.256,0.4304422659582429,0.9829118250170882,1.377754,6.315347,5.593884,19.64,15.84,6.98,5.63,12.022500000000003,5.892590156289508,498.42002,0.4928,-3.83222,-7e-05,-0.40642,71,-4.30719,174.63261,80.42341,1078.2676,0.0013844,1.49276,26.36717,80.4307,494.59,99.23,8.76827,17.2285,11.76801,1.83612,8.373229661643329,0.12943461530359104,1.3570188871391267,75.05667448715012,0.09937063410665072
6c_R_bp3,57,153.0,601.36035,-0.230707,-0.158081,0.072627,4559.5112,6428.2316,8732.7081,14.66,8.53,8.684,13.437,16.834,0.43213964831215507,0.9867526377491208,1.264894,6.035498,7.665072,20.67,20.18,5.99,15.18,15.505,5.898595171733691,442.22198,0.5215,-3.95883,-0.0001,-0.44764,57,-3.14014,160.79056,84.13698,1168.14567,0.00063873,0.74613,27.97553,84.1552,428.63,96.93,8.4544,16.85356,11.71993,1.96104,7.652031034778924,0.0947388055093242,1.2715325506645898,81.97825590529025,0.09321722428605936
1e_S_bp3,51,143.0,568.34872,-0.239068,-0.160906,0.078162,3504.4456,6060.4554,6941.1809,12.736,7.568,9.122,10.288,14.258,0.42348817868599264,0.941992600422833,1.599071,6.1494,7.604686,21.15,16.64,8.19,6.17,13.0375,6.112517382388372,401.96783,0.5264,-4.30892,-0.00015,-0.47626,51,6.08744,181.08543,87.75717,1549.78158,0.0,0.0,33.29178,87.75717,398.89,99.23,8.85285,17.56966,12.59371,3.55678,7.201116580004473,0.09836384230012812,1.359963362043376,61.25137217012341,0.055434654970167106
5i_R_Me_S_bp1,65,157.0,610.54259,-0.23326,-0.164912,0.068348,5136.4591,7745.0468,10909.138,15.378,8.889,8.829,14.293,17.368,0.42894541862188196,0.9769377882776465,1.480219,6.463399,6.412502,19.21,15.21,4.73,5.0,11.037500000000001,6.333156302350353,475.65888,0.5102,-3.76299,-2e-05,-0.45038,65,-8.03606,157.9946,79.61057,1157.97611,0.00458455,5.3088,28.8146,79.63804,467.81,98.35,8.72537,17.05702,11.77548,1.80917,8.341266797849205,0.12206751112939591,1.3363627146098307,50.068577691021495,0.0961017722640113
2h_R_bp1,69,163.0,632.58801,-0.230975,-0.149017,0.081958,5823.4241,9959.3774,14327.258,17.798,10.099,7.189,14.635,19.48,0.47162502421073016,0.9644519259332607,1.204731,4.725037,2.800043,17.8,14.76,6.35,11.9,12.7025,4.219480862618055,508.42488,0.4939,-3.70822,-5e-05,-0.41082,69,2.13774,159.44912,74.49863,820.48098,0.0,0.0,22.78815,74.49863,503.6,99.05,8.56979,16.90161,11.53266,1.94895,9.218969008843716,0.1603261344539433,1.5103799504849371,98.47624633528626,0.17819078361779364
1a_S_bp1,45,111.0,432.35271,-0.232665,-0.151152,0.081513,1922.0409,4895.005,5691.9458,13.524,7.962,8.348,11.334,15.576,0.4417720800952975,0.9781461944235117,1.272534,5.593395,4.582799,19.14,18.28,7.43,15.22,15.0175,4.6165483588932545,335.2445,0.5652,-4.34106,-0.0001,-0.54007,45,12.042,166.5483,84.78008,1235.22577,0.0,0.0,29.71936,84.78008,335.24,100.0,8.57093,16.91339,11.82962,2.45875,7.187534854254082,0.19720573002784972,1.3143973632692898,77.80720644206943,0.08979338608331895
3e_S_bp2,75,175.0,680.56165,-0.235705,-0.155549,0.080156,4464.2254,9454.3995,10363.056,14.87,8.635,9.924,11.121,16.336,0.4370134560338139,0.9459177764910248,1.500571,6.930033,7.92495,15.96,14.91,9.45,5.26,11.395,4.319018985834631,526.94778,0.4836,-4.36086,-0.00014,-0.34316,75,-7.46317,177.86879,84.44294,1184.69008,0.00411917,4.87994,27.79549,84.49232,512.49,97.26,8.6682,17.42819,12.24737,2.97343,7.981627573371131,0.13964348877038293,1.364750505188245,88.06611429495896,0.07130765107183286
2b_R_Me_R_bp1,71,167.0,648.57922,-0.232338,-0.146481,0.085857,6149.3855,9717.0515,14318.611,17.847,10.123,8.98,15.723,19.385,0.43968880420976225,0.9574730811024401,1.219913,6.414288,3.960608,19.19,17.5,6.12,14.92,14.4325,5.034348890373015,510.25067,0.4927,-3.82952,-3e-05,-0.37513,71,5.08847,150.86321,76.91118,855.94618,0.0,0.0,24.09584,76.91118,507.55,99.47,8.59325,17.31893,11.81641,2.42491,9.115942469924683,0.14920126576267975,1.3562184081178015,137.4784623281537,0.1187712266159191
6h_S_bp5,61,149.0,580.5133,-0.22631,-0.154573,0.071737,4084.2642,7677.676,9026.9555,14.494,8.447,9.378,13.127,16.608,0.42461585662056095,0.983070912750089,1.764713,7.860723,6.154284,14.63,17.53,5.7,14.16,13.005000000000003,4.410592363844113,455.14594,0.5145,-4.01285,-8e-05,-0.45775,61,-9.40458,164.43629,79.38334,981.45552,0.00499535,4.90272,26.639,79.54011,432.92,95.12,8.37199,16.79317,11.62904,2.06442,7.996424712553753,0.12463370102506817,1.3111490983243865,40.65490790206834,0.0731641729333786
4d_S_bp2,63,145.0,560.52359,-0.230558,-0.154488,0.07607,3435.1491,6680.5052,7053.9791,13.994,8.197,9.82,10.896,16.183,0.4385755711536898,0.9871294375991218,1.667795,6.872209,7.148755,15.16,12.03,6.94,11.04,11.292499999999999,2.937238286213769,441.72431,0.5247,-4.00096,-8e-05,-0.4327,63,-7.61797,165.12324,83.38425,1042.99698,0.00404171,4.21549,25.80862,83.44949,427.28,96.73,8.60711,16.59433,11.65964,1.84596,7.3955334964919865,0.11191351666484167,1.281673920942884,53.88058248008531,0.07294695158601537
7k_R_bp2,99,219.0,841.74417,-0.230228,-0.142781,0.087447,10716.184,12863.336,15783.545,14.431,8.416,12.344,15.343,15.544,0.3595567995188638,0.9234790874524714,2.34581,11.10923,7.594285,5.95,14.36,13.61,7.03,10.2375,3.776224139269278,665.36442,0.4614,-3.48702,-5e-05,-0.27691,99,-10.13534,148.68551,78.36971,794.58665,0.00941246,7.47902,23.52937,78.4766,648.77,97.51,8.51885,16.17579,11.48615,1.48776,9.137703555228168,0.036658853837241503,1.3268280593657973,38.42053770750498,0.0153117776186617
3f_R_bp5,87,167.0,628.72535,-0.23184,-0.142403,0.089437,5009.6432,8646.6972,11386.124,15.761,9.08,9.399,12.89,17.671,0.4422172172172172,0.9730726872246696,1.66836,7.068269,4.476224,13.85,14.83,14.18,8.56,12.855,2.5046606556577675,555.07947,0.48,-4.10739,-0.00016,-0.28919,87,1.77613,152.59414,78.26168,683.55502,0.0,0.0,19.88892,78.26168,549.94,99.07,8.61493,16.32364,11.54894,1.43738,8.433245359205886,0.1337485818052529,1.3617062034556817,63.79753522815273,0.09128332517187747
3d_R_bp1,75,151.0,572.61888,-0.231066,-0.142521,0.088545,4956.0467,7065.9841,10600.032,15.261,8.83,7.741,14.591,17.562,0.4402165739208903,0.9944507361268404,1.273335,5.331406,3.100467,17.37,14.99,14.8,6.98,13.535,3.9176683116364,492.39292,0.4987,-4.13547,-0.00016,-0.32437,75,5.15336,153.22359,79.36494,656.82589,0.0,0.0,19.76212,79.36494,489.66,99.44,8.56788,16.42928,11.61018,1.62,8.398865335541391,0.13057421684592713,1.3910919261378671,47.509649473862915,0.13092722510510496
2d_S_bp4,71,159.0,612.5983,-0.23466,-0.142783,0.091876,5743.5687,9703.5506,13807.716,17.788,10.094,8.079,15.626,19.475,0.4510189902732747,0.9646819893005747,1.187214,5.329572,4.203329,14.64,13.3,5.05,10.54,10.8825,3.6775832757396536,497.73836,0.4992,-3.63528,-6e-05,-0.38783,71,-4.63391,158.47589,78.09314,775.31988,0.00227605,1.76466,22.1633,78.10837,488.3,98.1,8.65667,16.52414,11.59622,1.75515,9.234166635163824,0.1534863899503285,1.4238273155348733,80.52897794285651,0.14638858105676622
5a_R_Me_R_bp3,63,145.0,560.52359,-0.233806,-0.14673,0.087075,3597.4233,6837.2681,8866.5912,15.187,8.793,8.624,11.873,17.25,0.4569899594669775,0.9808938928693279,1.401793,5.864318,7.062633,17.82,14.6,15.55,5.84,13.4525,4.548117055441735,443.66829,0.5218,-4.15863,-4e-05,-0.44026,63,-6.41968,148.70313,85.2138,1054.90576,0.00285245,3.00906,25.7158,85.25886,425.63,95.93,8.61059,16.51088,11.70524,1.87121,7.841186292254522,0.15320679294420522,1.3499455292205105,76.8334187793478,0.11101103217160489
1a_R_Me_R_bp4,51,119.0,460.40594,-0.233264,-0.143784,0.08948,2267.6122,5465.8738,5853.3193,13.51,7.955,9.061,11.055,15.732,0.4388529346128096,0.9888120678818353,1.392763,6.418164,6.833971,14.69,14.73,5.23,6.43,10.270000000000001,4.460246629952205,368.30202,0.546,-4.16954,-0.00011,-0.47872,51,-10.15464,161.19546,87.43461,1321.43659,0.00647684,8.55874,31.3016,87.57229,350.3,95.11,8.58009,16.72908,11.81315,2.21184,7.258970612212475,0.1677003386564545,1.298143424152021,78.94486388137688,0.07785630823112437
1e_R_bp3,51,143.0,568.34872,-0.236154,-0.160993,0.075161,4379.1532,4942.0692,6676.1753,12.191,7.296,9.84,13.086,13.443,0.36962797987296875,0.9212582236842105,1.697804,7.428263,7.532341,15.38,16.11,8.62,6.19,11.575,4.265398574576589,403.83864,0.5236,-4.02163,-9e-05,-0.46553,51,5.32926,181.42023,86.01774,1525.11476,0.0,0.0,33.16351,86.01774,400.6,99.2,8.71742,17.52623,12.54145,3.6355,7.089289674245912,0.048769876124516484,1.2287321710224293,25.003371620144296,0.026344091789790414
2b_R_Me_S_bp1,71,167.0,648.57922,-0.232113,-0.146834,0.085279,6041.7678,9791.2802,14346.463,17.848,10.124,8.823,14.712,19.342,0.45110432166429554,0.9552548399841958,1.246809,6.508414,3.95256,19.35,17.96,4.75,6.64,12.175,6.5328726453222705,510.31074,0.4926,-3.86512,-2e-05,-0.37543,71,7.91941,151.44807,76.6916,860.74652,0.0,0.0,24.18531,76.6916,509.14,99.77,8.57449,17.31566,11.81547,2.43038,9.115106386571005,0.15342786080882023,1.3956800209221283,116.26161252436493,0.12475035410504479
2c_R_bp5,65,167.0,653.43506,-0.234983,-0.149217,0.085766,5167.8725,10852.826,14296.025,17.807,10.104,8.542,14.504,19.435,0.45749864645370875,0.9617478226444972,1.34723,6.08133,4.771818,11.85,15.57,6.2,14.13,11.937500000000002,3.5682164662475286,495.3356,0.4999,-3.76482,-5e-05,-0.40038,65,-1.4405,164.17888,78.22501,915.17306,0.00017859,0.16344,23.68074,78.22629,485.56,98.03,8.68915,16.9056,11.61355,1.85428,9.101801822218368,0.18273075188760768,1.4132011604068166,143.10053323507037,0.13502562786361694
4h_R_bp4,61,149.0,580.5133,-0.23027,-0.156167,0.074103,4476.8087,6500.8127,9103.8313,13.836,8.118,9.734,13.635,16.201,0.40942633308061666,0.9978442966247845,1.343169,7.516653,4.803217,9.38,15.61,5.4,4.71,8.775,4.3300721702992435,454.31665,0.5156,-3.872,-8e-05,-0.45479,61,-7.38184,157.45843,76.41391,1015.01756,0.00372863,3.78462,25.74107,76.47438,436.25,96.02,8.44185,16.69792,11.56946,2.11925,7.8591989584867985,0.11117634450557654,1.2671735301521962,123.49601710215197,0.05857115091951253
2h_S_bp5,69,163.0,632.58801,-0.227815,-0.149513,0.078303,5115.9095,10680.3,13687.712,17.802,10.101,9.252,13.917,19.537,0.45747670116611244,0.9670824670824669,1.517346,6.658686,5.003436,13.0,17.21,5.09,6.05,10.337499999999999,5.005973306960396,510.3211,0.4918,-3.9229,-3e-05,-0.41632,69,-5.79559,166.76323,76.50159,926.76412,0.00274088,2.54015,24.49728,76.53575,491.37,96.29,8.42728,16.8209,11.5512,1.96399,9.122602546190805,0.17320599625161698,1.3959170844200663,70.22229767870904,0.12037325602681319
2d_R_bp5,71,159.0,612.5983,-0.233311,-0.144456,0.088855,5118.6933,10102.308,13675.003,17.765,10.083,8.429,13.538,19.296,0.467634442478734,0.9568580779529902,1.331544,5.95865,4.254245,9.19,15.07,13.39,5.86,10.8775,3.602522553711496,497.67467,0.4993,-3.7994,-5e-05,-0.38777,71,1.64999,156.74502,78.42248,798.70963,0.0,0.0,22.16105,78.42248,491.84,98.83,8.63409,16.5043,11.5931,1.7514,9.177358739667929,0.175743547321831,1.4680437609764396,108.09991681597691,0.14150242748193173
3h_R_Me_S_bp2,79,163.0,620.66182,-0.230492,-0.145246,0.085246,4257.0092,8301.4057,9551.8218,14.95,8.675,10.597,11.62,16.855,0.43138308763308764,0.9714697406340057,1.573261,7.909238,6.990608,14.86,15.63,12.77,9.78,13.260000000000002,2.2653586912451638,536.4787,0.4816,-4.21856,-0.0001,-0.33834,79,-14.19099,152.91817,81.24642,933.3015,0.01463458,13.65848,24.95499,81.47336,515.37,96.07,8.47056,16.60716,11.55674,1.72731,7.975449156833396,0.12889160129485597,1.3011772326124909,72.12115865584283,0.06361762542156713
3f_S_bp3,87,167.0,628.72535,-0.22899,-0.147947,0.081043,4530.1217,8755.8924,10201.484,15.057,8.729,10.492,12.911,16.356,0.41137855579868715,0.9368770764119603,1.837176,8.210265,6.487955,17.31,18.38,15.53,7.03,14.5625,4.4664492328918275,555.08339,0.4799,-4.50345,-0.00018,-0.29612,87,-1.25007,157.56438,80.69936,839.78422,0.00014619,0.12276,22.71348,80.70084,545.66,98.3,8.41205,16.34277,11.57651,1.51584,8.167218095675333,0.1294637766191978,1.3037559676335577,49.37751618314932,0.04786568745721862
3i_R_Me_R_bp5,77,163.0,622.63788,-0.237647,-0.154158,0.083489,5060.7267,8084.2574,11220.033,15.05,8.725,8.592,13.045,17.251,0.4436072824521703,0.988595988538682,1.438942,6.109598,6.530636,13.7,15.08,5.81,6.61,10.3,4.12869834209282,530.75029,0.4822,-3.78541,-0.00016,-0.36704,77,-17.7655,160.03652,81.56449,1088.63514,0.02370086,25.80159,26.81996,81.7184,515.8,97.18,8.78237,16.88879,11.74135,1.62509,8.358959569984481,0.13122085833890368,1.396331687008212,62.30491510018288,0.10385865368748685
4c_S_bp1,57,153.0,601.36035,-0.229992,-0.15807,0.071922,4339.4533,7007.9377,9253.2129,13.844,8.122,8.459,12.905,16.088,0.42956317419630463,0.9903964540753509,1.421751,6.25121,4.220843,18.27,13.03,5.69,4.62,10.402499999999998,5.577774533808264,439.07327,0.5262,-3.75159,-5e-05,-0.44246,57,5.14525,157.72405,77.65681,952.29599,0.0,0.0,24.90785,77.65681,436.08,99.32,8.61612,16.8017,11.65143,2.00755,7.820950663286544,0.11821489532404793,1.3490263324678096,91.73685098972882,0.0886465609126828
2f_R_bp3,83,175.0,668.70477,-0.230576,-0.147881,0.082695,4619.4073,11820.957,13497.573,17.679,10.039,10.093,11.986,19.916,0.4742469341588284,0.9919314672776174,1.776335,7.706123,6.061395,18.55,18.73,15.47,6.91,14.915,4.799882811069454,565.18552,0.4758,-3.97513,-0.00012,-0.34708,83,1.10378,160.40457,78.84321,829.42841,0.0,0.0,22.94277,78.84321,558.1,98.75,8.47986,16.46105,11.55796,1.64211,8.940872274000204,0.1944528899106944,1.3879321864274388,117.57401132523538,0.12688008278228566
6a_S_bp2,57,137.0,532.47036,-0.233754,-0.158188,0.075566,3845.755,4960.2013,7169.0599,13.056,7.728,9.09,12.664,15.434,0.415026352586856,0.9985766045548654,1.424678,6.069652,8.42138,16.7,15.69,5.66,12.84,12.7225,4.316227374687298,411.14811,0.5364,-4.10252,-0.0001,-0.49036,57,-12.16523,157.8137,88.56088,1224.91748,0.00817824,10.01767,29.2894,88.78345,391.96,95.33,8.59862,16.85139,11.7706,2.09683,7.319100843661486,0.09453475095764577,1.257594266051717,67.3572045013336,0.06306216540724746
1i_S_bp2,47,123.0,482.3717,-0.23985,-0.169108,0.070742,2989.425,4609.2938,5231.8638,12.348,7.374,9.911,12.07,14.579,0.3987691466083151,0.9885408190941145,1.462354,6.873286,9.541846,20.24,19.14,8.45,5.86,13.4225,6.345968700679196,370.97316,0.5429,-4.26072,-4e-05,-0.59727,47,-1.69898,189.78017,91.38473,2040.99757,0.00010801,0.22044,38.3936,91.3896,357.16,96.28,8.72376,17.49217,12.00978,2.48816,6.891570989610761,0.06984752845914101,1.19148336877724,57.19317010909408,0.03587015461606805
5j_R_bp2,77,177.0,684.66271,-0.22865,-0.143151,0.085499,5685.1609,9643.6067,11186.54,15.136,8.768,11.72,12.633,16.058,0.3973670535250303,0.9157162408759123,1.902056,9.178179,6.541775,12.12,14.22,10.34,5.12,10.45,3.36982195375364,540.98527,0.492,-3.42891,-4e-05,-0.37591,77,-12.57138,156.42989,75.54973,812.53979,0.01453003,11.80622,23.69021,75.77381,520.94,96.3,8.4866,16.53183,11.50432,1.72663,8.315646963952933,0.09645317421291269,1.2966062203744062,55.35661598463908,0.028282125751513183
5b_R_bp1,57,145.0,568.45128,-0.231249,-0.145083,0.086166,4699.8693,7044.3132,10237.707,15.491,8.946,8.245,14.453,17.686,0.4379457210776545,0.9884864744019674,1.276282,5.736139,4.793147,19.28,17.21,14.91,5.07,14.117500000000001,5.447482790243582,423.52345,0.5281,-3.87257,-3e-05,-0.44725,57,2.20404,160.80421,78.33016,1004.04546,0.0,0.0,25.83353,78.33016,419.01,98.93,8.57014,17.42836,11.94924,2.78925,8.309468602232394,0.13132042862007998,1.348759141708518,129.97154475593268,0.11712099926495409
5i_R_bp4,59,149.0,582.48935,-0.237003,-0.168603,0.0684,5134.4476,7142.0597,9962.9555,15.02,8.71,9.099,13.704,17.352,0.43212551363466567,0.9960964408725602,1.36015,6.134021,8.409957,15.61,14.95,6.02,6.09,10.6675,4.6184649776738596,448.87368,0.5159,-3.64542,-2e-05,-0.5055,59,-11.02072,176.32949,82.35525,1291.55721,0.00731098,9.44255,30.71288,82.56074,423.31,94.31,8.73229,17.28968,11.84589,2.00211,8.25666352283765,0.0999321690399694,1.3285002681744889,81.09428044347518,0.08975768072128171
6h_R_bp2,61,149.0,580.5133,-0.234226,-0.154659,0.079566,4342.2057,6302.9981,8298.7799,14.524,8.462,10.407,12.937,16.862,0.41939014077500864,0.9963365634601749,1.548109,7.39073,7.016088,16.93,14.35,6.03,13.59,12.725000000000001,4.05875288727954,452.80555,0.5175,-3.64121,-0.0001,-0.45606,61,-9.32488,153.37105,81.42596,1042.74488,0.00657658,6.85769,27.06184,81.58525,433.9,95.82,8.6633,16.85118,11.64056,2.00767,7.6333490072488255,0.0921220500576795,1.2086845146104717,78.18528709321271,0.0566729479078648
