Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.893822,1.499764,2.785946,1,0.38019,0.00000,0.38019,-0.15459808,-0.00534531,-0.04137,NaN,-0.04137,NaN,NaN,0.00074,0.38019,0.38019,0.00000,36.00151619,78.92733909,58.85882,58.85882,NaN,NaN,119.64081,NaN,9.328427,NaN,NaN,0.38019,10.639889,12.016777,11.255773,0.055179
O,2.030329,2.815201,0.910122,2,8.46607,0.00000,8.46607,-0.90137820,-0.00284269,-0.28292,NaN,-0.28292,NaN,NaN,0.05789,8.46607,8.46607,0.00000,28.05077408,119.79429765,69.29870,69.29870,NaN,NaN,609.35217,NaN,21.169783,NaN,NaN,8.46607,10.033308,15.484164,12.808419,0.847629
C,2.236808,3.536619,-1.345149,3,4.47016,0.00000,4.47016,-3.70884672,-0.07064578,-1.70583,NaN,-1.70583,NaN,NaN,0.90467,4.47016,4.47016,0.00000,69.20211800,138.17404712,108.90785,108.90785,NaN,NaN,261.15046,NaN,14.167276,NaN,NaN,4.47016,9.656818,15.484164,12.943239,0.936610
C,4.518137,4.693052,-2.286427,4,5.68377,0.00000,5.68377,-2.06855795,-0.00654708,-0.43911,NaN,-0.43911,NaN,NaN,0.11761,5.68377,5.68377,0.00000,75.15240594,123.46941265,91.22918,91.22918,NaN,NaN,94.94315,NaN,7.949040,NaN,NaN,5.68377,10.547955,15.072035,11.680624,0.920074
H,0.715964,3.153159,-2.691448,5,9.17288,0.00000,9.17288,-3.19029756,-0.00946773,-0.50971,NaN,-0.50971,NaN,NaN,0.33567,9.17288,9.17288,0.00000,63.45214131,146.69953620,114.51007,114.51007,NaN,NaN,355.44440,NaN,15.716044,NaN,NaN,9.17288,9.358068,15.486527,12.793682,1.110369
C,6.506737,5.429125,-0.664881,6,4.72094,0.00000,4.72094,-1.75576337,-0.04745089,-0.90311,NaN,-0.90311,NaN,NaN,0.19735,4.72094,4.72094,0.00000,67.27464897,108.28130334,83.40656,83.40656,NaN,NaN,57.51211,NaN,6.434912,NaN,NaN,4.72094,10.292981,14.920784,11.122653,0.614300
C,4.772942,4.966629,-4.925987,7,4.74408,0.00000,4.74408,-1.85788231,-0.03563355,-0.92203,NaN,-0.92203,NaN,NaN,0.22276,4.74408,4.74408,0.00000,72.44334878,116.16585085,87.93227,87.93227,NaN,NaN,56.50193,NaN,5.943436,NaN,NaN,4.74408,10.337196,14.941709,11.163898,0.661869
C,8.723342,6.389984,-1.686762,8,4.70377,0.00000,4.70377,-1.26591766,-0.00459678,-0.65463,NaN,-0.65463,NaN,NaN,0.12421,4.70377,4.70377,0.00000,67.27464897,108.28130334,78.21145,78.21145,NaN,NaN,39.13985,NaN,4.813974,NaN,NaN,4.70377,10.124189,14.941709,10.922413,0.616005
H,6.272296,5.257265,1.363407,9,9.23343,0.00000,9.23343,-1.69299918,-0.00058970,-0.34245,NaN,-0.34245,NaN,NaN,0.14583,9.23343,9.23343,0.00000,56.75573547,120.08322135,93.60574,93.60574,NaN,NaN,118.44847,NaN,8.493642,NaN,NaN,9.23343,10.873178,15.484164,12.353973,0.616163
C,7.00989,5.91259,-5.935957,10,4.69005,0.00000,4.69005,-1.03737454,-0.00739561,-0.57237,NaN,-0.57237,NaN,NaN,0.07904,4.69005,4.69005,0.00000,70.16116202,108.17884202,79.50772,79.50772,NaN,NaN,30.59053,NaN,4.128131,NaN,NaN,4.69005,10.091971,14.832100,10.887236,0.588599
