Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.222931,-1.80243,1.091878,1,0.27092,0.00000,0.27092,-0.76115988,-0.05020969,-0.26869,NaN,-0.26869,NaN,NaN,0.03316,0.27092,0.27092,0.00000,56.23743430,105.09750304,81.36061,81.36061,NaN,NaN,119.49052,NaN,8.807673,NaN,NaN,0.27092,11.085722,13.231688,11.962279,0.174941
O,3.195672,-2.947652,-0.433038,2,9.84317,0.00000,9.84317,-0.81038104,-0.00177582,-0.26745,NaN,-0.26745,NaN,NaN,0.04655,9.84317,9.84317,0.00000,16.92394508,106.46784214,50.47252,50.47252,NaN,NaN,422.29674,NaN,17.622770,NaN,NaN,9.84317,9.993796,15.377041,12.655818,0.896178
C,5.276901,-3.503305,0.597943,3,4.19416,0.00000,4.19416,-3.83222135,-0.10997866,-1.73319,NaN,-1.73319,NaN,NaN,0.85416,4.19416,4.19416,0.00000,56.74299124,103.78182197,85.85661,85.85661,NaN,NaN,75.08604,NaN,6.887710,NaN,NaN,4.19416,9.705606,15.343595,12.903078,1.038548
C,7.236451,-4.81345,-0.746153,4,5.72502,0.00000,5.72502,-1.98931473,-0.01323613,-0.42230,NaN,-0.42230,NaN,NaN,0.10134,5.72502,5.72502,0.00000,56.33164814,96.04859300,68.30174,68.30174,NaN,NaN,56.75214,NaN,6.114016,NaN,NaN,5.72502,10.512361,15.164641,11.595473,0.950913
H,5.646211,-2.88776,2.534023,5,10.51093,0.00000,10.51093,-3.26492138,-0.00510986,-0.41151,NaN,-0.41151,NaN,NaN,0.30289,10.51093,10.51093,0.00000,34.42078039,118.76430175,87.50717,87.50717,NaN,NaN,358.18976,NaN,14.787053,NaN,NaN,10.51093,9.105375,15.250221,12.292784,1.934393
C,6.903013,-5.669214,-3.253904,6,4.71148,0.00000,4.71148,-1.74861232,-0.03573317,-0.91361,NaN,-0.91361,NaN,NaN,0.20219,4.71148,4.71148,0.00000,52.37695657,89.62773610,62.69590,62.69590,NaN,NaN,29.20860,NaN,3.923087,NaN,NaN,4.71148,10.156827,14.903743,11.008856,0.668687
C,9.551796,-5.216071,0.516817,7,4.70506,0.00000,4.70506,-1.84082323,-0.03127898,-0.93013,NaN,-0.93013,NaN,NaN,0.21761,4.70506,4.70506,0.00000,55.87438182,89.62773610,67.47073,67.47073,NaN,NaN,33.23286,NaN,4.635109,NaN,NaN,4.70506,10.233432,14.906042,11.067064,0.631587
C,8.870331,-6.911344,-4.464325,8,4.75381,0.00000,4.75381,-1.17678547,-0.00523083,-0.62039,NaN,-0.62039,NaN,NaN,0.11045,4.75381,4.75381,0.00000,52.35909343,88.82133212,60.93745,60.93745,NaN,NaN,28.69620,NaN,3.979558,NaN,NaN,4.75381,10.002005,14.794484,10.813002,0.637098
H,5.111418,-5.348826,-4.198488,9,9.14393,0.00000,9.14393,-1.66721939,-0.00009752,-0.33151,NaN,-0.33151,NaN,NaN,0.13903,9.14393,9.14393,0.00000,36.22609930,104.90871057,76.45764,76.45764,NaN,NaN,128.95533,NaN,9.118179,NaN,NaN,9.14393,10.770169,15.343595,12.217294,0.663483
C,11.513882,-6.457856,-0.714422,10,4.69965,0.00000,4.69965,-0.99208619,-0.00611251,-0.54870,NaN,-0.54870,NaN,NaN,0.07413,4.69965,4.69965,0.00000,55.49426249,89.62773610,62.58705,62.58705,NaN,NaN,25.75422,NaN,3.883137,NaN,NaN,4.69965,9.987297,14.903743,10.794891,0.620403
H,9.778411,-4.551061,2.44677,11,8.80812,0.00000,8.80812,-1.76568757,-0.00020854,-0.35654,NaN,-0.35654,NaN,NaN,0.15209,8.80812,8.80812,0.00000,70.34519755,120.91330858,91.62718,91.62718,NaN,NaN,179.31335,NaN,11.448435,NaN,NaN,8.80812,10.815247,15.219982,12.295738,0.615334
C,11.170747,-7.304549,-3.198828,12,4.73083,0.00000,4.73083,-1.19257034,-0.00503419,-0.75708,NaN,-0.75708,NaN,NaN,0.10468,4.73083,4.73083,0.00000,56.15459324,89.62773610,64.79925,64.79925,NaN,NaN,25.44046,NaN,4.047571,NaN,NaN,4.73083,10.266887,14.906042,11.001705,0.582610
H,8.634898,-7.580035,-6.389742,13,8.93896,0.00000,8.93896,-1.12586250,-0.00006725,-0.25324,NaN,-0.25324,NaN,NaN,0.07547,8.93896,8.93896,0.00000,62.83308186,110.43983869,80.73075,80.73075,NaN,NaN,156.99773,NaN,10.190241,NaN,NaN,8.93896,10.651058,14.589840,12.035997,0.617472
H,13.299991,-6.772181,0.244313,14,8.94786,0.00000,8.94786,-0.96234340,-0.00014855,-0.21607,NaN,-0.21607,NaN,NaN,0.05412,8.94786,8.94786,0.00000,65.11298769,112.75336722,83.15019,83.15019,NaN,NaN,157.60502,NaN,10.204297,NaN,NaN,8.94786,10.497001,14.656581,12.046252,0.620261
H,12.701692,-8.278363,-4.159966,15,8.84916,0.00000,8.84916,-1.09904514,-0.00018729,-0.25026,NaN,-0.25026,NaN,NaN,0.07318,8.84916,8.84916,0.00000,68.91175549,112.56870786,83.73731,83.73731,NaN,NaN,140.03036,NaN,9.674958,NaN,NaN,8.84916,10.895813,14.583424,12.136593,0.569106
C,3.505123,-7.883962,4.012758,16,3.60053,0.00000,3.60053,-1.01691930,-0.12255887,-0.52865,NaN,-0.52865,NaN,NaN,0.05298,3.60053,3.60053,0.00000,20.08335298,65.10666007,42.74565,42.74565,NaN,NaN,177.07243,NaN,12.118176,NaN,NaN,3.60053,8.768272,11.750902,9.570601,0.290175
C,1.628279,-6.273694,3.770852,17,9.67708,0.00000,9.67708,-0.76862251,-0.00641670,-0.42215,NaN,-0.42215,NaN,NaN,0.03652,9.67708,9.67708,0.00000,16.49684824,93.38693848,42.87029,42.87029,NaN,NaN,189.92416,NaN,10.881291,NaN,NaN,9.67708,9.013652,13.751754,10.357689,0.729266
