Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
C,-0.153058,-6.727656,2.594157,17,9.53854,0.00000,9.53854,-0.62018957,-0.00445918,-0.05495,NaN,-0.05495,NaN,NaN,0.00223,9.53854,9.53854,0.00000,14.57020912,84.76118645,39.76458,39.76458,NaN,NaN,148.15746,NaN,9.509088,NaN,NaN,9.53854,8.847053,13.407225,10.163563,0.702855
H,2.499465,-9.105938,4.342349,18,9.05776,0.00000,9.05776,-0.18806696,-0.00016662,-0.04080,NaN,-0.04080,NaN,NaN,0.00159,9.05776,9.05776,0.00000,30.58338308,103.60117375,67.04975,67.04975,NaN,NaN,275.59923,NaN,13.591379,NaN,NaN,9.05776,9.358730,13.089112,11.367829,0.466250
H,1.154063,-10.241737,1.296673,19,9.00315,0.00000,9.00315,-0.19030033,-0.00044243,-0.03560,NaN,-0.03560,NaN,NaN,0.00119,9.00315,9.00315,0.00000,29.78716761,98.24792803,62.29278,62.29278,NaN,NaN,256.64778,NaN,13.212295,NaN,NaN,9.00315,9.251944,13.057101,11.339628,0.472028
C,-1.401202,-4.625995,2.346543,20,5.38996,0.00000,5.38996,-0.21238271,-0.00494401,-0.03473,NaN,-0.03473,NaN,NaN,0.00076,5.38996,5.38996,0.00000,14.28246535,88.48201076,32.88418,32.88418,NaN,NaN,216.62817,NaN,11.596182,NaN,NaN,5.38996,8.807696,13.177390,9.886571,0.762298
H,-3.311879,-4.472972,3.102023,21,10.34888,0.00000,10.34888,-0.50257178,-0.00447616,-0.06452,NaN,-0.06452,NaN,NaN,0.00402,10.34888,10.34888,0.00000,25.37851949,90.63374360,54.15940,54.15940,NaN,NaN,232.99919,NaN,12.219630,NaN,NaN,10.34888,9.540789,13.467271,11.240998,0.371722
Cl,1.773776,-0.166572,4.23077,22,19.66815,0.00000,19.66815,-0.22161998,-0.00116378,-0.03849,NaN,-0.03849,NaN,NaN,0.00132,19.66815,19.66815,0.00000,6.64603845,82.42549351,28.88887,28.88887,NaN,NaN,192.46819,NaN,11.277393,NaN,NaN,19.66815,8.612168,11.741616,9.218291,0.220365
Cl,-2.044156,-2.78566,-3.080078,23,21.33859,0.00000,21.33859,-0.23719596,-0.00241922,-0.03381,NaN,-0.03381,NaN,NaN,0.00096,21.33859,21.33859,0.00000,4.68553865,81.00061984,21.32020,21.32020,NaN,NaN,162.80539,NaN,10.218523,NaN,NaN,21.33859,8.483838,11.796127,9.105572,0.263249
O,0.868365,1.121492,-1.282994,24,9.10548,0.00000,9.10548,-1.17183890,-0.01586523,-0.19597,NaN,-0.19597,NaN,NaN,0.01515,9.10548,9.10548,0.00000,12.43993677,109.62013044,44.39156,44.39156,NaN,NaN,556.06759,NaN,20.359763,NaN,NaN,9.10548,9.319192,15.572747,11.736205,1.291746
O,-2.942884,0.255132,1.804343,25,9.29384,0.00000,9.29384,-1.40692446,-0.00646633,-0.18785,NaN,-0.18785,NaN,NaN,0.01753,9.29384,9.29384,0.00000,12.79278517,108.63233956,44.42114,44.42114,NaN,NaN,520.29296,NaN,19.688336,NaN,NaN,9.29384,9.569538,15.614151,11.764409,1.235542
C,-1.055675,4.784787,0.114296,26,4.88114,0.00000,4.88114,-2.09835273,-0.02812643,-1.11584,NaN,-1.11584,NaN,NaN,0.25985,4.88114,4.88114,0.00000,81.26507525,137.83985048,106.80250,106.80250,NaN,NaN,147.09747,NaN,10.830154,NaN,NaN,4.88114,11.366958,16.106354,12.715959,0.882056
