Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
C,-4.581469,-5.907622,-2.608793,17,9.66737,0.00000,9.66737,-0.75083362,-0.01029673,-0.20498,NaN,-0.20498,NaN,NaN,0.03225,9.66737,9.66737,0.00000,14.48210826,89.20966243,46.17751,46.17751,NaN,NaN,175.81031,NaN,10.589645,NaN,NaN,9.66737,8.962289,13.692499,10.322736,0.701651
H,-8.514968,-6.408594,-2.594637,18,9.02224,0.00000,9.02224,-0.77124324,-0.00093047,-0.17484,NaN,-0.17484,NaN,NaN,0.03339,9.02224,9.02224,0.00000,34.85529680,106.07371810,70.47067,70.47067,NaN,NaN,265.52593,NaN,13.171751,NaN,NaN,9.02224,9.506399,13.238128,11.483261,0.463585
H,-7.198248,-4.46297,-5.216302,19,9.01621,0.00000,9.01621,-0.79930372,-0.00183348,-0.16472,NaN,-0.16472,NaN,NaN,0.02865,9.01621,9.01621,0.00000,38.94931174,109.84363162,73.11539,73.11539,NaN,NaN,271.23357,NaN,13.499895,NaN,NaN,9.01621,9.490893,13.210302,11.484226,0.467557
C,-2.3446,-6.07515,-1.606403,20,5.09834,0.00000,5.09834,-0.42783909,-0.00490344,-0.06458,NaN,-0.06458,NaN,NaN,0.00217,5.09834,5.09834,0.00000,13.54254065,94.24487285,34.49176,34.49176,NaN,NaN,204.33203,NaN,10.747727,NaN,NaN,5.09834,8.890889,13.347938,9.951201,0.750291
H,-1.065957,-7.59059,-2.163538,21,9.96681,0.00000,9.96681,-0.63535586,-0.00214748,-0.12115,NaN,-0.12115,NaN,NaN,0.00751,9.96681,9.96681,0.00000,17.01809003,92.99135256,53.29733,53.29733,NaN,NaN,284.99622,NaN,13.713435,NaN,NaN,9.96681,9.092622,12.500523,11.241719,0.362266
Cl,-3.30151,-5.160082,4.137701,22,21.43668,0.00000,21.43668,-0.35538894,-0.00054734,-0.07752,NaN,-0.07752,NaN,NaN,0.00789,21.43668,17.01578,4.42090,-9.32488205,78.45436969,13.47023,18.14317,-4.51560,149.63119,142.56124,7.06995,11.583382,0.045017,6.735897,21.43668,8.663298,11.575101,9.292727,0.271362
Cl,2.317498,-6.178688,1.939889,23,22.12329,0.00000,22.12329,-0.36598156,-0.00157329,-0.08305,NaN,-0.08305,NaN,NaN,0.00784,22.12329,18.49008,3.63321,-9.09501718,80.64939205,16.00293,20.01812,-4.43108,188.37855,181.68174,6.69681,12.206596,0.034286,6.458743,22.12329,8.729315,11.932656,9.346151,0.274080
O,0.844483,-2.148214,-1.864999,24,9.39931,0.00000,9.39931,-1.55822734,-0.02306596,-0.18566,NaN,-0.18566,NaN,NaN,0.02025,9.39931,9.39931,0.00000,14.07182223,118.73360658,47.73225,47.73225,NaN,NaN,477.42240,NaN,18.391491,NaN,NaN,9.39931,10.336379,15.608563,11.815280,1.370867
O,0.428737,-1.226514,3.028469,25,10.01103,0.00000,10.01103,-1.47948927,-0.00294637,-0.19020,NaN,-0.19020,NaN,NaN,0.02177,10.01103,10.01103,0.00000,3.60578208,109.86854609,38.44213,38.44213,NaN,NaN,640.12459,NaN,21.410131,NaN,NaN,10.01103,9.917751,15.814359,11.815168,1.277502
C,4.011407,0.373176,-0.211073,26,4.18268,0.00000,4.18268,-2.20080136,-0.11275668,-1.17494,NaN,-1.17494,NaN,NaN,0.29668,4.18268,4.18268,0.00000,74.30255510,145.70672929,110.25491,110.25491,NaN,NaN,283.13131,NaN,15.318221,NaN,NaN,4.18268,11.519857,16.662401,12.991622,1.148723
C,1.989198,2.102075,0.645956,27,4.15808,0.00000,4.15808,-2.25624028,-0.13216254,-1.25717,NaN,-1.25717,NaN,NaN,0.31646,4.15808,4.15808,0.00000,85.21339926,153.33965832,119.41027,119.41027,NaN,NaN,114.63635,NaN,8.540468,NaN,NaN,4.15808,11.426877,16.851184,13.114773,1.099414
C,-1.562201,2.740942,3.415102,28,5.45819,0.00000,5.45819,-1.67348488,-0.05730247,-0.91530,NaN,-0.91530,NaN,NaN,0.17946,5.45819,5.45819,0.00000,91.09545282,151.84728047,105.63272,105.63272,NaN,NaN,80.49215,NaN,6.293632,NaN,NaN,5.45819,11.319385,16.751290,12.738882,1.006338
C,5.038732,-3.219052,-2.802749,29,5.49132,0.00000,5.49132,-1.59293967,-0.04446360,-0.80725,NaN,-0.80725,NaN,NaN,0.15511,5.49132,5.49132,0.00000,63.63332570,144.29471851,88.95423,88.95423,NaN,NaN,246.06583,NaN,13.172368,NaN,NaN,5.49132,11.184730,16.457285,12.463723,0.997866
C,7.583531,-2.737928,-2.482374,30,4.71233,0.00000,4.71233,-2.08389008,-0.07069219,-1.13783,NaN,-1.13783,NaN,NaN,0.26711,4.71233,4.71233,0.00000,69.82851906,144.44433628,93.19738,93.19738,NaN,NaN,128.52264,NaN,8.741897,NaN,NaN,4.71233,10.831579,16.390370,11.786693,0.773598
C,6.600921,0.866233,0.247921,31,4.95006,0.00000,4.95006,-1.16999977,-0.11363889,-0.78917,NaN,-0.78917,NaN,NaN,0.04040,4.95006,4.95006,0.00000,83.18989510,143.77168098,101.75713,101.75713,NaN,NaN,157.97973,NaN,10.970717,NaN,NaN,4.95006,11.185375,16.457285,12.280293,0.944278
C,8.439146,-0.74777,-0.932812,32,5.69568,0.00000,5.69568,-1.17547660,-0.12913430,-0.77112,NaN,-0.77112,NaN,NaN,0.03878,5.69568,5.69568,0.00000,80.38428446,140.77137903,97.05670,97.05670,NaN,NaN,98.83217,NaN,8.078877,NaN,NaN,5.69568,11.141315,16.457285,12.146647,0.838237
C,1.836319,4.628782,-0.231756,33,5.29218,0.00000,5.29218,-1.23975692,-0.11772941,-0.83460,NaN,-0.83460,NaN,NaN,0.04426,5.29218,5.29218,0.00000,99.38798936,152.13743667,114.14057,114.14057,NaN,NaN,66.23328,NaN,6.154170,NaN,NaN,5.29218,11.321211,16.523957,12.366129,0.954248
C,-0.088415,6.236618,0.810309,34,5.69880,0.00000,5.69880,-1.18905650,-0.13933996,-0.82988,NaN,-0.82988,NaN,NaN,0.04710,5.69880,5.69880,0.00000,98.71009815,151.69090879,111.57142,111.57142,NaN,NaN,49.28779,NaN,5.000484,NaN,NaN,5.69880,11.238130,16.509591,12.268226,0.839542
C,-1.719857,5.234029,2.659818,35,4.70665,0.00000,4.70665,-2.22923943,-0.13034767,-1.20531,NaN,-1.20531,NaN,NaN,0.29799,4.70665,4.70665,0.00000,95.84206494,151.69090879,108.66868,108.66868,NaN,NaN,62.26416,NaN,5.183110,NaN,NaN,4.70665,10.971617,16.569275,11.911019,0.787184
C,7.427572,2.857922,1.843124,36,4.71610,0.00000,4.71610,-1.70041098,-0.05617731,-0.88298,NaN,-0.88298,NaN,NaN,0.15879,4.71610,4.71610,0.00000,73.35062212,131.15998202,92.46542,92.46542,NaN,NaN,101.98831,NaN,8.289197,NaN,NaN,4.71610,10.254434,15.267045,11.236900,0.787964
C,11.045211,-0.288888,-0.516067,37,4.76495,0.00000,4.76495,-1.57760948,-0.04832215,-0.85426,NaN,-0.85426,NaN,NaN,0.14743,4.76495,4.76495,0.00000,70.94360727,121.89763382,85.97845,85.97845,NaN,NaN,63.91574,NaN,6.224124,NaN,NaN,4.76495,10.178041,15.373710,11.149761,0.784925
C,3.459136,5.594871,-2.138146,38,4.74453,0.00000,4.74453,-1.78929163,-0.05657108,-0.93600,NaN,-0.93600,NaN,NaN,0.18009,4.74453,4.74453,0.00000,86.70260325,130.35372818,101.05412,101.05412,NaN,NaN,60.78310,NaN,5.984161,NaN,NaN,4.74453,10.351046,15.455227,11.337181,0.787273
C,-0.302196,8.76399,-0.049783,39,4.72797,0.00000,4.72797,-1.66514874,-0.05312135,-0.90309,NaN,-0.90309,NaN,NaN,0.16581,4.72797,4.72797,0.00000,85.99525391,130.47505422,99.19480,99.19480,NaN,NaN,50.19542,NaN,5.331316,NaN,NaN,4.72797,10.283183,15.498148,11.245821,0.766618
H,-3.162126,6.411516,3.513717,40,8.88210,0.00000,8.88210,-2.09958169,-0.00554077,-0.46809,NaN,-0.46809,NaN,NaN,0.22392,8.88210,8.88210,0.00000,104.47432060,153.37104544,123.17024,123.17024,NaN,NaN,160.45495,NaN,10.654655,NaN,NaN,8.88210,11.567333,15.541341,13.064371,0.599637
C,-3.194421,1.674709,5.234475,41,10.50706,0.00000,10.50706,-1.43023575,-0.00176203,-0.33880,NaN,-0.33880,NaN,NaN,0.09239,10.50706,10.50706,0.00000,27.58756896,115.87306797,71.51409,71.51409,NaN,NaN,391.92799,NaN,16.563507,NaN,NaN,10.50706,9.846187,14.653642,10.903197,0.968659
N,3.303651,-1.643296,-1.590955,42,4.89503,0.00000,4.89503,-1.20396063,-0.04065866,-0.39983,NaN,-0.39983,NaN,NaN,0.04660,4.89503,4.89503,0.00000,52.70596960,145.70672929,97.73986,97.73986,NaN,NaN,333.11278,NaN,15.355083,NaN,NaN,4.89503,10.133311,16.744146,13.887791,1.474472
N,0.292883,1.21276,2.320293,43,4.16576,0.00000,4.16576,-0.98152581,-0.06329669,-0.44829,NaN,-0.44829,NaN,NaN,0.05773,4.16576,4.16576,0.00000,82.88286265,153.33965832,109.17652,109.17652,NaN,NaN,164.58422,NaN,9.486164,NaN,NaN,4.16576,12.585186,16.851184,14.484099,0.686164
C,4.091805,-5.191509,-4.334278,44,10.48153,0.00000,10.48153,-1.36136977,-0.00173337,-0.22910,NaN,-0.22910,NaN,NaN,0.06951,10.48153,10.48153,0.00000,32.56062133,104.65070783,60.07079,60.07079,NaN,NaN,300.84312,NaN,14.615445,NaN,NaN,10.48153,9.778373,14.896224,10.784892,0.930271
H,8.92796,-3.955184,-3.434987,45,8.92589,0.00000,8.92589,-1.91076060,-0.00351966,-0.40749,NaN,-0.40749,NaN,NaN,0.19300,8.92589,8.92589,0.00000,85.06363430,140.16348112,109.40536,109.40536,NaN,NaN,173.17947,NaN,10.903351,NaN,NaN,8.92589,11.458687,15.456197,12.974212,0.612765
C,11.794403,1.673827,1.026259,46,4.74911,0.00000,4.74911,-1.45689092,-0.02584682,-0.80355,NaN,-0.80355,NaN,NaN,0.17400,4.74911,4.74911,0.00000,70.94360727,121.89763382,84.77174,84.77174,NaN,NaN,47.30192,NaN,5.073367,NaN,NaN,4.74911,10.333612,15.373710,11.159569,0.638771
C,9.977074,3.241838,2.218151,47,4.75988,0.00000,4.75988,-1.34766633,-0.02584682,-0.76557,NaN,-0.76557,NaN,NaN,0.15173,4.75988,4.75988,0.00000,73.35062212,120.31252111,86.72885,86.72885,NaN,NaN,44.25732,NaN,4.960401,NaN,NaN,4.75988,10.314629,15.263562,11.151710,0.650700
H,6.054824,4.054411,2.781289,48,9.81207,0.00000,9.81207,-2.18282937,-0.00387890,-0.52829,NaN,-0.52829,NaN,NaN,0.18218,9.81207,9.81207,0.00000,86.66339553,147.34977443,117.43571,117.43571,NaN,NaN,212.22740,NaN,12.388513,NaN,NaN,9.81207,10.909957,15.449670,12.545569,0.617906
H,12.423611,-1.512259,-1.41727,49,8.82980,0.00000,8.82980,-1.52087674,-0.00166168,-0.33574,NaN,-0.33574,NaN,NaN,0.12764,8.82980,8.82980,0.00000,81.36242173,132.93161760,104.72092,104.72092,NaN,NaN,168.48964,NaN,10.988145,NaN,NaN,8.82980,10.749561,15.456197,12.405020,0.724684
H,13.791042,2.018178,1.34938,50,8.86527,0.00000,8.86527,-1.34458852,-0.00089986,-0.28995,NaN,-0.28995,NaN,NaN,0.10140,8.86527,8.86527,0.00000,82.45298306,128.33985240,100.59906,100.59906,NaN,NaN,132.56641,NaN,9.269506,NaN,NaN,8.86527,10.942291,14.853112,12.310151,0.604261
H,10.602622,4.756692,3.451889,51,8.84862,0.00000,8.84862,-1.24665185,-0.00054170,-0.27195,NaN,-0.27195,NaN,NaN,0.08739,8.84862,8.84862,0.00000,84.75717127,132.45127124,104.19675,104.19675,NaN,NaN,141.89947,NaN,9.729091,NaN,NaN,8.84862,10.899481,14.925584,12.316632,0.613053
C,3.193369,8.059591,-2.939635,52,4.74811,0.00000,4.74811,-1.44847228,-0.02978223,-0.82350,NaN,-0.82350,NaN,NaN,0.17537,4.74811,4.74811,0.00000,86.70260325,128.60991379,96.19278,96.19278,NaN,NaN,34.14606,NaN,3.908020,NaN,NaN,4.74811,10.415773,15.349165,11.247458,0.662710
C,1.316706,9.656172,-1.887294,53,4.72496,0.00000,4.72496,-1.56794947,-0.02913161,-0.87467,NaN,-0.87467,NaN,NaN,0.19841,4.72496,4.72496,0.00000,85.99525391,128.60991379,96.21368,96.21368,NaN,NaN,34.14550,NaN,3.937850,NaN,NaN,4.72496,10.452725,15.349165,11.270422,0.636607
H,-1.759327,9.965503,0.751829,54,8.87296,0.00000,8.87296,-1.62269520,-0.00637479,-0.36200,NaN,-0.36200,NaN,NaN,0.14527,8.87296,8.87296,0.00000,95.66664711,145.57437894,117.53362,117.53362,NaN,NaN,166.22525,NaN,11.010181,NaN,NaN,8.87296,10.885895,15.541341,12.504351,0.741614
H,4.886582,4.392079,-2.978703,55,9.90305,0.00000,9.90305,-1.97504189,-0.00531890,-0.53683,NaN,-0.53683,NaN,NaN,0.17195,9.90305,9.90305,0.00000,97.43045590,149.83583885,120.77639,120.77639,NaN,NaN,163.42883,NaN,10.693055,NaN,NaN,9.90305,11.004362,15.558488,12.562123,0.577398
H,4.430079,8.784252,-4.406983,56,8.81918,0.00000,8.81918,-1.35397235,-0.00073628,-0.29752,NaN,-0.29752,NaN,NaN,0.10325,8.81918,8.81918,0.00000,95.54764607,138.94596883,111.50387,111.50387,NaN,NaN,129.62509,NaN,9.252749,NaN,NaN,8.81918,11.014178,14.998687,12.394442,0.614743
H,1.14981,11.590798,-2.549713,57,8.87132,0.00000,8.87132,-1.45060116,-0.00219700,-0.31935,NaN,-0.31935,NaN,NaN,0.11886,8.87132,8.87132,0.00000,95.17544250,138.04476764,110.75229,110.75229,NaN,NaN,123.15617,NaN,8.951945,NaN,NaN,8.87132,11.040210,14.948304,12.406340,0.596486
C,3.389432,-6.881158,-5.70463,58,9.68415,0.00000,9.68415,-1.26574514,-0.00173337,-0.49783,NaN,-0.49783,NaN,NaN,0.12533,9.68415,9.68415,0.00000,32.63364842,74.10811046,53.54675,53.54675,NaN,NaN,109.70917,NaN,8.958164,NaN,NaN,9.68415,9.751553,11.455847,10.103381,0.143714
H,2.749926,-8.383881,-6.893158,59,8.58519,0.00000,8.58519,-1.23447535,-0.00053519,-0.33229,NaN,-0.33229,NaN,NaN,0.08158,8.58519,8.58519,0.00000,64.50282851,146.31641395,93.85884,93.85884,NaN,NaN,470.44846,NaN,18.375496,NaN,NaN,8.58519,10.769673,13.848677,12.823091,0.639382
C,-4.66001,0.875179,6.795202,60,9.68122,0.00000,9.68122,-1.44665222,-0.00256053,-0.67919,NaN,-0.67919,NaN,NaN,0.15300,9.68122,9.68122,0.00000,27.58756896,84.15111529,60.08364,60.08364,NaN,NaN,172.77911,NaN,10.419270,NaN,NaN,9.68122,9.832341,11.474101,10.196190,0.146364
H,-5.935866,0.126513,8.170203,61,8.56637,0.00000,8.56637,-1.39966021,-0.00187117,-0.49192,NaN,-0.49192,NaN,NaN,0.11673,8.56637,8.56637,0.00000,60.91765931,150.10258142,98.01482,98.01482,NaN,NaN,478.90239,NaN,18.276909,NaN,NaN,8.56637,11.042292,13.907716,12.907544,0.615842
